committee_id,committee_name,source,validation_status
COMMITTEE-1C679147A8E8A4DD,UNVALIDATED_PART_CLUSTER::IS 1608 (Part 5):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-FBAB2885636C5E89,UNVALIDATED_PART_CLUSTER::IS 19882 (Part 1):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-C9AB760F487C3323,UNVALIDATED_PART_CLUSTER::IS 19882 (Part 2):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-ACB8DA49C3C0F97E,UNVALIDATED_PART_CLUSTER::IS 19882 (Part 3):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-91CC7CF6B8A52CCB,UNVALIDATED_PART_CLUSTER::IS 16810 (Part 1):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-630906B7E7177D1E,UNVALIDATED_PART_CLUSTER::IS 13450 (Part 2/Sec 6):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-56BB7575F5DB1321,UNVALIDATED_PART_CLUSTER::IS 15732 (Part 1):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-626D37EFBD18A464,UNVALIDATED_PART_CLUSTER::IS 15732 (Part 4):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-50EDAD8A279C1044,UNVALIDATED_PART_CLUSTER::IS 13450 (Part 2/Sec 75):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-6F417D462B4F56B1,UNVALIDATED_PART_CLUSTER::IS 13450 (Part 2/Sec 83):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-79871C8021AD06E9,UNVALIDATED_PART_CLUSTER::IS 302 (Part 2/Sec 16):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-7D96951310748F92,UNVALIDATED_PART_CLUSTER::IS 302 (Part 2/Sec 36):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-DE7C26967FBEE0B9,UNVALIDATED_PART_CLUSTER::IS 302 (Part 2/Sec 49):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-C2BC596DB7489C02,UNVALIDATED_PART_CLUSTER::IS 302 (Part 2/Sec 54):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-5F6C8A8456146A84,UNVALIDATED_PART_CLUSTER::IS/ISO/IEC/IEEE 8802 (Part 1):2021,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-E592AA8697CDC861,UNVALIDATED_PART_CLUSTER::IS/ISO/IEC 11179 (Part 6):2023,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-94A37BD6CE7715D3,UNVALIDATED_PART_CLUSTER::IS 302 (Part 2/Sec 26):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
COMMITTEE-772C183002EFDDC0,UNVALIDATED_PART_CLUSTER::IS 15284 (Part 1):2026,DERIVED_FROM_IDENTIFIER_PART,INFERRED_NOT_OFFICIAL
