department_id,department_name,source,validation_status
DEPT-3973E022E93220F9,UNVALIDATED_CLUSTER::-,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-00EE52C691316E74,UNVALIDATED_CLUSTER::Code of Practice,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-914182D5E25F69E1,UNVALIDATED_CLUSTER::Dimensions,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-0B79ACD60A7B6FDA,UNVALIDATED_CLUSTER::Methods of Tests,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-EBDAD9BA4C5E3CE0,UNVALIDATED_CLUSTER::Others,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-A8393BA23D310076,UNVALIDATED_CLUSTER::Process Specification,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-F2C368F3F65E86B0,UNVALIDATED_CLUSTER::Product Specification,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-8BA16F0A8097BBFA,UNVALIDATED_CLUSTER::Safety Standard,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-3EC5138167C38869,UNVALIDATED_CLUSTER::Service Specification,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-E93AD47B36C855E7,UNVALIDATED_CLUSTER::System Standard,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
DEPT-9615BD0BA9F0C510,UNVALIDATED_CLUSTER::Terminology,DERIVED_FROM_TYPE_OF_STANDARD,INFERRED_NOT_OFFICIAL
