relationship_id,from_entity_id,to_entity_id,relationship_type,evidence,source,derivation_method,validation_status
REL-15CB4C53E6BAF70F,MSV1-5D0BA51F8738085C,FAM-8E9E5F5ED5D06F79,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-F7E735EEFF7058AD,MSV1-20BC1DA075E1C350,FAM-83F690D22DDF4D46,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-92D5686CDD485CC1,MSV1-F4236670B769271D,FAM-805B774E03B4C2E8,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-5A49109BCCC2BB1F,MSV1-356EEF4C2E00D4E4,FAM-0829DE72D6AFB59A,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-87AF631500439592,MSV1-58D4F26A33B657A5,FAM-7E00449AA06E8FEE,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-AE83A4A6EAF60479,MSV1-77A59E41C9A194C0,FAM-42E73E8C7C7FC83D,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-DF3200E79E0EA8CD,MSV1-67937071AB131EA2,FAM-61F27AEEC34B184E,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-BF38AF5BF24CD1B3,MSV1-9B2179E3A5E26B8E,FAM-ADFEA4BA76F02674,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-B2006F71EC6145F9,MSV1-F74A73AEDF348B67,FAM-ADFEA4BA76F02674,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-0C84DCAC9FE9D04A,MSV1-7CD6FE241264991E,FAM-ADFEA4BA76F02674,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-7878FD66D727095E,MSV1-4A86F08FC2974589,FAM-EA48656667B69B30,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-E2A9E6A6114328F2,MSV1-5D692F4BDF89CE03,FAM-290628A00AC42CF1,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-BED80149872ED40D,MSV1-7C4E13F808C720BA,FAM-95AACAC65D1DEAEE,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-9AA41CCD6A2D66BE,MSV1-20ACEEB0051A3B01,FAM-2D2E4E640C1722B2,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-54975072ABECBE8A,MSV1-D8EEC4771AE63FE3,FAM-A3DC59B88B705E68,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-4EE98B89F2F7A9FA,MSV1-DF1D95FB49D5F0E3,FAM-65B088EE664AB4C3,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-95F61B4EB1E754E9,MSV1-E79E9873164FB2F5,FAM-1F57D5217C3FA206,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-60B9A0E1F4D652F6,MSV1-7BDE2FF9C85BC665,FAM-F406FC24E7DDF779,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-C741DD2C5F1B565C,MSV1-27E0843782F7412B,FAM-1524A1B31B8B1E03,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-4E0CE9B5B3837F3B,MSV1-391106B5860F79C6,FAM-91F651E8C4069124,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-12A1E8D86B31EFA6,MSV1-B14B163A001A39A0,FAM-A3B399962FDB62C7,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-8A51527F855DC42A,MSV1-1DDE68C6A175E748,FAM-2367D9344201DE44,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-D6C740F69DDE1408,MSV1-6C72DBECC4610B49,FAM-7220EA523B38401E,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-C2A9E7774C8E0FA9,MSV1-CAA5A939E23855D9,FAM-999683C1E8CE89A3,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-E37432E38F17EF9B,MSV1-2102B9299AE692BD,FAM-6083EE3F0413D28D,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-5014E075EB061C08,MSV1-DA4934D3570DA0D7,FAM-611AD2BAAA959237,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-83F6A44DBC7738C2,MSV1-8DF868A81D7A0E2A,FAM-D766E6EF59F0A718,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
REL-AB07B8049A862DFF,MSV1-52A9639E1762156A,FAM-0958B23531A0682E,BELONGS_TO_DERIVED_FAMILY,Derived from conservative standard identifier family parsing,MANAKSETU_V02_DETERMINISTIC_PARSE,IDENTIFIER_PARSE,INFERRED_NOT_OFFICIAL
