document_id,standard_id,standard_number,validation_status,record_type,synthetic_flag
DOC-5D0BA51F8738085C,MSV1-5D0BA51F8738085C,IS 19763:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-20BC1DA075E1C350,MSV1-20BC1DA075E1C350,IS 19822:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-F4236670B769271D,MSV1-F4236670B769271D,IS 19783:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-356EEF4C2E00D4E4,MSV1-356EEF4C2E00D4E4,IS 1608 (Part 5):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-58D4F26A33B657A5,MSV1-58D4F26A33B657A5,IS 19881:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-77A59E41C9A194C0,MSV1-77A59E41C9A194C0,IS 19879:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-67937071AB131EA2,MSV1-67937071AB131EA2,IS 19880:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9B2179E3A5E26B8E,MSV1-9B2179E3A5E26B8E,IS 19882 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-F74A73AEDF348B67,MSV1-F74A73AEDF348B67,IS 19882 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-7CD6FE241264991E,MSV1-7CD6FE241264991E,IS 19882 (Part 3):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4A86F08FC2974589,MSV1-4A86F08FC2974589,IS 8324:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-5D692F4BDF89CE03,MSV1-5D692F4BDF89CE03,IS 13872:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-7C4E13F808C720BA,MSV1-7C4E13F808C720BA,IS 9874:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-20ACEEB0051A3B01,MSV1-20ACEEB0051A3B01,IS 10325:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-D8EEC4771AE63FE3,MSV1-D8EEC4771AE63FE3,IS 12112:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-DF1D95FB49D5F0E3,MSV1-DF1D95FB49D5F0E3,IS 7385:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-E79E9873164FB2F5,MSV1-E79E9873164FB2F5,IS 13618:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
