candidate_id,query_id,standard_id,label,difficulty,record_type,synthetic_flag,validation_status
CAND-62BF163DD8D99A66,SYN-Q-00001,MSV1-A44D6D9DD02EF056,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-2186162665B6C718,SYN-Q-00001,MSV1-7BDE2FF9C85BC665,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-A655EEC15F4E184B,SYN-Q-00002,MSV1-46674A7707248124,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-39A4387E5B988CAC,SYN-Q-00002,MSV1-7999720A6F32853F,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-4371A7CF06F5B0AD,SYN-Q-00003,MSV1-8F9336B1BA4C970D,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-E8B5317646AF67E8,SYN-Q-00003,MSV1-A3AD2C99F6D3B04C,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-B0EF8E77DDB69A43,SYN-Q-00004,MSV1-A618E538928F2183,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-C54AD78F989CEF05,SYN-Q-00004,MSV1-4F6822532A7855A7,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-87E6771B4872F76C,SYN-Q-00005,MSV1-E0162E31EE169F33,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-AAEC821C8E1F445C,SYN-Q-00005,MSV1-9B108F9A928BB368,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-6EBB31B31FA202FB,SYN-Q-00006,MSV1-899135D1E001E554,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-D5DF52E17FE7A2E0,SYN-Q-00006,MSV1-90CDBF2A07DCD8CA,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-5F81BFC54F35B77F,SYN-Q-00007,MSV1-39AC68A9CD7A26AD,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-C9386705D1B01FCD,SYN-Q-00007,MSV1-6AB61EF743E6F7F7,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-AC7351F7CC8EDFAA,SYN-Q-00008,MSV1-603CE15978E46BFD,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-F328DEEE65E47736,SYN-Q-00008,MSV1-43EA6B7F4FF541A3,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-03F5F3127B9498D7,SYN-Q-00009,MSV1-9987B09C822D494D,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-6A5B3B2EF8BDF393,SYN-Q-00009,MSV1-D17033B89B1B647F,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-507317F5B990A97C,SYN-Q-00010,MSV1-3D8093EAAE511881,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-2B93CECE700AE1B7,SYN-Q-00010,MSV1-6F4B76BD17CFECB1,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-9BAC23A8F0EC77EB,SYN-Q-00011,MSV1-94A2F3B11F7EA713,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-4B7389FD572D2595,SYN-Q-00011,MSV1-1BEBD16120FAE0ED,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-AA619CF58CA688D2,SYN-Q-00012,MSV1-01D80F37B360C671,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-12D355091079AC49,SYN-Q-00012,MSV1-E4E804DF035A4656,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-4298E338EC9EEB78,SYN-Q-00013,MSV1-9C953BC6A83742FF,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-DEA570F41422EE98,SYN-Q-00013,MSV1-4F8E6C3EE15CDC00,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-971A0648B4F48515,SYN-Q-00014,MSV1-087B866DBA81E85E,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-8C1BB6AB5C732199,SYN-Q-00014,MSV1-DD890A9457AAEA17,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-763511E35564CC34,SYN-Q-00015,MSV1-FE5E2ECF6D21CF29,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-BE7B936B00318D60,SYN-Q-00015,MSV1-7369FEB0106D28B4,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-9E35939A846B59C0,SYN-Q-00016,MSV1-0C690155FE0085AF,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-139E965D3C27E66B,SYN-Q-00016,MSV1-22D802F1D4DA7072,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-4B53D30D910BD3D1,SYN-Q-00017,MSV1-D693BFD6B8182E44,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-F5AFA60359C3E3BB,SYN-Q-00017,MSV1-A19BBA97D6A66DD6,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-17A970FE472524D4,SYN-Q-00018,MSV1-CD0199B1E7D492C2,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-D409F3D42EF9A456,SYN-Q-00018,MSV1-D16B7D52A77FAEC3,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-FD136A99F6F09881,SYN-Q-00019,MSV1-534FE5AB9580D1F1,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-CECBA18EA95003D2,SYN-Q-00019,MSV1-2D2C4730040D0FDC,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-7CCADDFCBC9ABA24,SYN-Q-00020,MSV1-BB72737E5DD7CEAA,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-019B08E3ADFD9342,SYN-Q-00020,MSV1-3D82D7598CF3AE3C,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-635163F9189ECBAF,SYN-Q-00021,MSV1-6D3A36B9B8CB9BE9,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-31CD376E9DAE3E7B,SYN-Q-00021,MSV1-4F561AB0226FEEC2,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-D44C8CB07B9C3EED,SYN-Q-00022,MSV1-167162C38D5C79D6,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-1CDC67C2D5330468,SYN-Q-00022,MSV1-5338F49AAEDB10F2,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
CAND-ECC4B425668848E3,SYN-Q-00023,MSV1-6B037C23D010A219,POSITIVE,EASY,SYNTHETIC,True,SYNTHETIC
CAND-A11BFC37E8932103,SYN-Q-00023,MSV1-F7FC7303D172520B,NEGATIVE,UNVALIDATED_HARD_NEGATIVE,SYNTHETIC,True,SYNTHETIC_NOT_EXPERT_VALIDATED
