pair_id,query,standard_id,label,record_type,synthetic_flag,validation_status
SPAIR-F955583514A2C7A7,"Need applicable Indian Standard for Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",MSV1-A44D6D9DD02EF056,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-1D937E4343151316,Need applicable Indian Standard for Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),MSV1-46674A7707248124,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-F3789A38D952F6FF,Need applicable Indian Standard for Ophthalmic Instruments Air Injection Cannula - Specification First Revision,MSV1-8F9336B1BA4C970D,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-68F4699904A8AB84,"Need applicable Indian Standard for Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",MSV1-A618E538928F2183,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-3C4CA27000379DA0,Need applicable Indian Standard for Soy Amrakhand,MSV1-E0162E31EE169F33,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-1CF3D3FEEA6EDF78,Need applicable Indian Standard for Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),MSV1-899135D1E001E554,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-222A1258286B158B,"Need applicable Indian Standard for Hub axle, front for moped - Specification (First Revision)",MSV1-39AC68A9CD7A26AD,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-CF48DE5AD7812F98,Need applicable Indian Standard for Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,MSV1-603CE15978E46BFD,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-CC84683BEA9E3592,"Need applicable Indian Standard for Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",MSV1-9987B09C822D494D,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-EA1EC69FF742D470,Need applicable Indian Standard for Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),MSV1-3D8093EAAE511881,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-D760C4342ACE86DA,Need applicable Indian Standard for Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),MSV1-94A2F3B11F7EA713,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-299131DAAC2F9DC4,"Need applicable Indian Standard for Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",MSV1-01D80F37B360C671,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-542239A59D740F7B,Need applicable Indian Standard for SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),MSV1-9C953BC6A83742FF,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-E53DAC32F27F209A,Need applicable Indian Standard for Textiles — Grading of Uncut Indian Mesta (First Revision),MSV1-087B866DBA81E85E,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-39C07FA3F8D4F6BC,"Need applicable Indian Standard for Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",MSV1-FE5E2ECF6D21CF29,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-82A544972BCA1CB1,Need applicable Indian Standard for Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,MSV1-0C690155FE0085AF,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-D7017251874A0411,Need applicable Indian Standard for Pesticide - Pirimiphos methyl space spray specification,MSV1-D693BFD6B8182E44,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-64847B42E38AB5EB,Need applicable Indian Standard for Graphical symbols - Creation and design of public information symbols - Requirements,MSV1-CD0199B1E7D492C2,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-C74746B746AF3818,Need applicable Indian Standard for Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),MSV1-534FE5AB9580D1F1,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-D071F991F370EDB4,Need applicable Indian Standard for Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,MSV1-BB72737E5DD7CEAA,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-6E8617C1AE377776,Need applicable Indian Standard for METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,MSV1-6D3A36B9B8CB9BE9,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-20068345ED820CE6,Need applicable Indian Standard for Industrial automation glossary,MSV1-167162C38D5C79D6,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-3C484BFB2B2C1F2D,Need applicable Indian Standard for Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,MSV1-6B037C23D010A219,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-71E874DF1403F9EB,Need applicable Indian Standard for ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),MSV1-A56935BCAF61C5DA,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-E2E2BF02E044FA9C,Need applicable Indian Standard for Specification for playgroijnd equipment for parks: Part ii horizontal bars,MSV1-CFBCFC071DA8AB32,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-77E717657978D2F9,Need applicable Indian Standard for Head configuration and gauging of countersunk head screws,MSV1-55FB1F79EB65BAA6,POSITIVE,SYNTHETIC,True,SYNTHETIC
SPAIR-485A6B72F9EFB8D6,"Need applicable Indian Standard for Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",MSV1-A3F46B38962E88BA,POSITIVE,SYNTHETIC,True,SYNTHETIC
