standard_id,source_record_id,standard_number,standard_number_raw,publication_prefix,base_standard_number,part,section,publication_year,suffix,standard_family_key,identifier_parse_status,title,title_raw,title_normalized,publication_date,date_of_publish_raw,type_of_standard,degree_of_equivalence,inventory_status,current_status,scope,department,committee,sector,product_category,validation_status,source,source_type,source_file,source_sheet,source_row_number,source_url,source_date,retrieval_date,last_verified,record_type,synthetic_flag,issue_type
MSV1-9987B09C822D494D,XLSX-PUBLISHED-00150,IS 14990 (Part 5):2026,IS 14990 (Part 5):2026,IS,14990,5,,2026,,IS 14990,PARSED_CONSERVATIVELY,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements","Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",information security cybersecurity and privacy protection evaluation criteria for it security part 5 pre defined packages of security requirements,2026-06-23,23 Jun 2026,Others,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,150,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-E40F4A23845447F6,XLSX-PUBLISHED-00261,IS 7762:2026,IS 7762:2026,IS,7762,,,2026,,IS 7762,PARSED_CONSERVATIVELY,"Specification for hook, eyelid","Specification for hook, eyelid",specification for hook eyelid,2026-05-14,14 May 2026,Product Specification,Indigenous,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,261,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-7386EA3121FB9D6F,XLSX-PUBLISHED-00263,IS 7758:2026,IS 7758:2026,IS,7758,,,2026,,IS 7758,PARSED_CONSERVATIVELY,"Specification For Curette, Eye, Evacuation, Moorfield's Pattern","Specification For Curette, Eye, Evacuation, Moorfield's Pattern",specification for curette eye evacuation moorfield s pattern,2026-05-14,14 May 2026,Product Specification,Indigenous,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,263,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-D1766E239B24555F,XLSX-PUBLISHED-00265,IS 7767:2026,IS 7767:2026,IS,7767,,,2026,,IS 7767,PARSED_CONSERVATIVELY,"Specification For Spatula, Eye, Cyclodialysis, Sinclair's Pattern","Specification For Spatula, Eye, Cyclodialysis, Sinclair's Pattern",specification for spatula eye cyclodialysis sinclair s pattern,2026-05-14,14 May 2026,Product Specification,Indigenous,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,265,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-8D9A4BF95797A1FF,XLSX-PUBLISHED-00267,IS 5722:2026,IS 5722:2026,IS,5722,,,2026,,IS 5722,PARSED_CONSERVATIVELY,"Specification For Hook, Eye, Iris (Tyrrell's Pattern)","Specification For Hook, Eye, Iris (Tyrrell's Pattern)",specification for hook eye iris tyrrell s pattern,2026-05-14,14 May 2026,Product Specification,Indigenous,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,267,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-DE125E7EA48BEF8E,XLSX-PUBLISHED-00271,IS 11244:2026,IS 11244:2026,IS,11244,,,2026,,IS 11244,PARSED_CONSERVATIVELY,"Specification for trephine, bone lacrimal with handle","Specification for trephine, bone lacrimal with handle",specification for trephine bone lacrimal with handle,2026-05-14,14 May 2026,Product Specification,Indigenous,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,271,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-D0D785503AF95DF8,XLSX-PUBLISHED-00281,IS 9401 (Part 9):2026,IS 9401 (Part 9):2026,IS,9401,9,,2026,,IS 9401,PARSED_CONSERVATIVELY,METHOD OF MEASUREMENT OF WORKS IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 9 LINING,METHOD OF MEASUREMENT OF WORKS IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 9 LINING,method of measurement of works in river valley projects dams and appurtenant structures part 9 lining,2026-04-21,21 Apr 2026,Code of Practice,Indigenous,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,281,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-796858985E6D0F17,XLSX-PUBLISHED-00313,IS 1448 (Part 97):2026,IS 1448 (Part 97):2026,IS,1448,97,,2026,,IS 1448,PARSED_CONSERVATIVELY,Methods of test for petroleum and its products [p : 97] determination of thermal oxidation stability of gas turbine fuels - Jftot method (First Revision),Methods of test for petroleum and its products [p : 97] determination of thermal oxidation stability of gas turbine fuels - Jftot method (First Revision),methods of test for petroleum and its products p 97 determination of thermal oxidation stability of gas turbine fuels jftot method first revision,2026-03-30,30 Mar 2026,Methods of Tests,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,313,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-37FA75225AE8727F,XLSX-PUBLISHED-00314,IS 1448 (Part 186):2026,IS 1448 (Part 186):2026,IS,1448,186,,2026,,IS 1448,PARSED_CONSERVATIVELY,Petroleum Products and Related Products Determination of Kinematic Viscosity Method by Stabinger Type Viscometer,Petroleum Products and Related Products Determination of Kinematic Viscosity Method by Stabinger Type Viscometer,petroleum products and related products determination of kinematic viscosity method by stabinger type viscometer,2026-03-30,30 Mar 2026,Methods of Tests,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,314,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
MSV1-3104558A317B4E25,XLSX-PUBLISHED-00315,IS 1448 (Part 187):2026,IS 1448 (Part 187):2026,IS,1448,187,,2026,,IS 1448,PARSED_CONSERVATIVELY,Methods of test for Petroleum and its Products Part 187 Petroleum Products-Determination of Sulfated Ash in Lubricating Oils and Additives,Methods of test for Petroleum and its Products Part 187 Petroleum Products-Determination of Sulfated Ash in Lubricating Oils and Additives,methods of test for petroleum and its products part 187 petroleum products determination of sulfated ash in lubricating oils and additives,2026-03-30,30 Mar 2026,Methods of Tests,Identical under dual numbering,PUBLISHED_IN_SOURCE_INVENTORY,UNKNOWN_CURRENT_STATUS,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,SOURCE_DERIVED,User-supplied Published Standards XLSX,USER_SUPPLIED_OFFICIAL_INVENTORY,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,315,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-04,2026-09-04,OFFICIAL_SOURCE_INVENTORY,False,DUPLICATE_NORMALIZED_TITLE
