standard_family_id,standard_family_key
FAM-8E9E5F5ED5D0,IS 19763
FAM-83F690D22DDF,IS 19822
FAM-805B774E03B4,IS 19783
FAM-0829DE72D6AF,IS 1608
FAM-7E00449AA06E,IS 19881
FAM-42E73E8C7C7F,IS 19879
FAM-61F27AEEC34B,IS 19880
FAM-ADFEA4BA76F0,IS 19882
FAM-EA48656667B6,IS 8324
FAM-290628A00AC4,IS 13872
FAM-95AACAC65D1D,IS 9874
FAM-2D2E4E640C17,IS 10325
FAM-A3DC59B88B70,IS 12112
FAM-65B088EE664A,IS 7385
FAM-1F57D5217C3F,IS 13618
FAM-F406FC24E7DD,IS 12185
FAM-1524A1B31B8B,IS 11916
FAM-91F651E8C406,IS 10447
FAM-A3B399962FDB,IS 11304
FAM-2367D9344201,IS 16810
FAM-7220EA523B38,IS 16815
FAM-999683C1E8CE,IS 7967
FAM-6083EE3F0413,IS 3256
FAM-611AD2BAAA95,IS 5175
FAM-D766E6EF59F0,IS 13450
FAM-0958B23531A0,IS 15732
FAM-ABDA009D8454,IS 5647
FAM-C0A778BE7864,IS 5649
FAM-EBB57FB1BD00,IS 6156
FAM-C235DB30D7CE,IS 10870
FAM-A79AB383D78E,IS 19887
FAM-1CD8356A2312,IS 19901
FAM-5333E7C0E470,IS 19897
FAM-E5CFBBB2D2F6,IS 19900
FAM-3E8FBCCFAC08,IS 19898
FAM-579946298A43,IS 302
FAM-2EA41E30E714,IS/ISO/IEC/IEEE 8802
FAM-0A7EE7A1564D,IS/ISO/IEC 11179
FAM-C4EF715AECBD,IS/ISO/IEC 14882
FAM-AFE00D24A7C1,IS 7324
FAM-09F1419C8215,IS 15284
FAM-62F985CD5882,IS 6452
FAM-322716CC8E08,IS 11233
FAM-9823BC9E63A9,IS 17425
FAM-97487B2AA59E,IS 5306
FAM-B6CBA0830081,IS 5867
FAM-679F676C75FE,IS 7328
FAM-16AE4994512C,IS 8122
FAM-0AF31E9E6136,IS 7585
FAM-DC5320B5D2DC,IS 9374
FAM-FD2F4F12E574,IS 1989
FAM-F22A5FA59054,IS 2553
FAM-E8C08074ABAF,IS 19655
FAM-B5DFA5AAD35D,IS 19535
FAM-513259A6C770,IS 19792
FAM-553F8BB1F496,IS 19878
FAM-182217635015,IS 19885
FAM-D33FA839B91E,IS 19700
FAM-960E5690A42E,IS 14452
FAM-3215DE736672,IS 17862
FAM-48785747826E,IS 19884
FAM-364CBFA5CAB3,IS 12157
FAM-F261F1CE4225,IS/ISO 7425
FAM-B53B5C105A4B,IS 7386
FAM-B0093489F9ED,IS 16812
FAM-D78AEB80445A,IS 19841
FAM-7BBA3BDB4EA4,IS 19592
FAM-41727625D8C1,IS 3346
FAM-901318D6FF10,IS 9357
FAM-C405487F000A,IS 14550
FAM-4009F499CF83,IS 16122
FAM-C9F7E488E338,IS 19864
FAM-3947B6239745,IS 19866
FAM-8EC644B56E9F,IS 17874
FAM-5742401D5215,IS 19510
FAM-1B88A755B023,IS 19823
FAM-3B5AADCEB61E,IS 19846
FAM-93AD6B0DB27D,IS 17113
FAM-B72FF822F1BA,IS 19844
FAM-61CCC3C10404,IS 19843
FAM-5ABD24E235BE,IS 19859
FAM-26620E531A15,IS 19848
FAM-F55D4058119C,IS 19847
FAM-8BCC9A85EA83,IS 19860
FAM-581FE171855B,IS 19845
FAM-88F84229B42F,IS 19762
FAM-1C5542FC3DAD,IS 17017
FAM-F6BEA5A5F944,IS 13940
FAM-E4C1C78C87FA,IS/ISO/IEC 5218
FAM-120A83A371DA,IS 10680
FAM-3BDB28680B59,IS 14943
FAM-F912C25215F8,IS/ISO 56001
FAM-D17910BAD8D5,IS 19814
FAM-1440E5DE545B,IS 19815
FAM-6A4F15FF4F24,IS 19811
FAM-2D48A9DA4ACC,IS 19863
FAM-2DCA58A27524,IS 1622
FAM-6688A1E7932E,IS/ISO 8573
FAM-9EBE3086D0E3,IS 16264
FAM-D2E374B29D7F,IS 16252
FAM-EBB98E23A34B,IS 5760
FAM-812445D42DEB,IS 15583
FAM-E7F2BF5827EC,IS 17274
FAM-A0848968951D,IS 19872
FAM-3A205FF59782,IS 19875
FAM-BDA384690057,IS 19869
FAM-BDC066B07C34,IS 19873
FAM-01B615694172,IS 19874
FAM-2DFBF4A9DFF0,IS 19870
FAM-B15A03EC7132,IS 19871
FAM-F75ACF47BF6E,IS 5870
FAM-23F04EB0A113,IS 5681
FAM-CE4A10A65D3D,IS 8697
FAM-5C18F15E48F6,IS 8787
FAM-85EBB055CC2B,IS 7219
FAM-965F3A09804B,IS 8751
FAM-9C9B7DC8EC50,IS 19857
FAM-25AB5A08C6DD,IS 19856
FAM-65CF53B54F56,IS 19834
FAM-1D69F0EF15C8,IS 19835
FAM-2287E28476D4,IS/ISO/IEC 8663
FAM-264F7DBAB030,IS/ISO/IEC 27031
FAM-3B295FDA7C29,IS 16500
FAM-C980AF0144D8,IS/ISO/IEC 19896
FAM-239A921C3D89,IS/ISO/IEC 27018
FAM-F54ADADB6206,IS 14990
FAM-BD1A7034A427,IS 19751
FAM-A455133BFCD2,IS 1459
FAM-A5A67725D2F0,IS 5508
FAM-4E567822161D,IS 3608
FAM-78EF20A69990,IS 10226
FAM-A7ECEF8F89B0,IS 12435
FAM-7D4608A18A9A,IS 1017
FAM-793241417357,IS 19877T
FAM-88261E834D55,IS 19465
FAM-35459B64655D,IS/IEC 60136
FAM-7CADFD7E23DE,IS 29997
FAM-37EAAAC9EB99,IS 1944
FAM-F73DC51BE6EA,IS 8783
FAM-A3C976EC1227,IS 16234
FAM-63A7BEFC35E2,IS 9131
FAM-4DA2FAFF034B,IS 19757
FAM-A6E5CEA4394B,IS 19607
FAM-38EE497A563B,IS 19819
FAM-3ECF3A5739DF,IS 12410
FAM-8AA06CC7493E,IS 14685
FAM-0AD3E8C48455,IS 14684
FAM-2F4F01495DD9,IS 101
FAM-7CA29C8CE9FB,IS 1420
FAM-D5F2D2D4DE47,IS 13213
FAM-60E6B73116D2,IS 15386
FAM-FF97608F9D80,IS 75
FAM-C5D2033921CB,IS 887
FAM-2391CA423E0A,IS 19854
FAM-A6C0BD1F2496,IS 19852
FAM-209C455A67AF,IS 19851
FAM-FCD41C101658,IS 19853
FAM-CFC65C8DD1B6,IS 19861
FAM-47BC6CE60770,IS 19855
FAM-887F1714A657,IS 19858
FAM-F6E30A2C6A7E,IS 19809
FAM-DD4CB879A940,IS 8682
FAM-B181086B52CB,IS/ISO 7507
FAM-9FEBCA027157,IS 19726
FAM-7FE7B643DA86,IS 20201
FAM-BEBAEA76B7D5,IS 432
FAM-02BB0CC22CEB,IS 10125
FAM-A56115F54ECC,IS 12292
FAM-5451BD34AD5B,IS 19519
FAM-AC6E407CD2D8,IS 4289
FAM-2E99A73C8DE6,IS 16805
FAM-56F9BBF99B5D,IS 16893
FAM-07FF7E6ED306,IS 19775
FAM-BA9200667705,IS 19826
FAM-964A32E2BD46,IS 19829
FAM-A4754F5BF02E,IS 19830
FAM-40916FC9B544,IS 19828
FAM-21ECDF1E55B4,IS 19831
FAM-C7DA800AE68D,IS/IEC 61537
FAM-3E24B3C0F08F,IS 16724
FAM-36FD57C1C091,IS 8810
FAM-7BD6899580E8,IS 19778
FAM-6BE9B5362288,IS 19711
FAM-32E87C1721EE,IS 19632
FAM-240AD7989846,IS 19359
