source_record_id,source_file,source_sheet,source_row_number,sl_no_raw,standard_number_raw,date_of_publish_raw,title_raw,type_of_standard_raw,degree_of_equivalence_raw
XLSX-PUBLISHED-00003,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,3,1,IS 19763:2026,04 Aug 2026,Textile floor coverings - Aircraft Woven Carpet - Specification,Product Specification,Indigenous
XLSX-PUBLISHED-00004,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,4,2,IS 19822:2026,04 Aug 2026,FIBRE ROPES — ELECTROSTATIC SURFACE POTENTIAL MEASURING METHOD,Methods of Tests,Identical under dual numbering
XLSX-PUBLISHED-00005,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,5,3,IS 19783:2026,04 Aug 2026,Textiles — 100 Percent Nylon Woven Fabric — Specifications,Product Specification,Indigenous
XLSX-PUBLISHED-00006,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,6,4,IS 1608 (Part 5):2026,04 Aug 2026,Metallic materials — Tensile testing Part 5: Specification for testing miniaturised test pieces,Methods of Tests,Identical under dual numbering
XLSX-PUBLISHED-00007,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,7,5,IS 19881:2026,04 Aug 2026,ASSIMILATIVE AND CARRYING CAPACITY ASSESSMENT OF AMBIENT AIR POLLUTION — METHODOLOGY,Code of Practice,Indigenous
XLSX-PUBLISHED-00008,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,8,6,IS 19879:2026,04 Aug 2026,PREPARATION OF AIR QUALITY MANAGEMENT PLAN — CODE OF PRACTICE,Code of Practice,Indigenous
XLSX-PUBLISHED-00009,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,9,7,IS 19880:2026,04 Aug 2026,CONTROL OF AIR POLLUTION FROM PLASTIC WASTE PYROLYSIS — CODE OF PRACTICE,Code of Practice,Indigenous
XLSX-PUBLISHED-00010,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,10,8,IS 19882 (Part 1):2026,04 Aug 2026,Soil quality — Sampling — Part 1: Preliminary investigations,Code of Practice,Identical under dual numbering
XLSX-PUBLISHED-00011,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,11,9,IS 19882 (Part 2):2026,04 Aug 2026,Soil quality — Sampling — Part 2: Investigation of potentially contaminated sites,Code of Practice,Identical under dual numbering
XLSX-PUBLISHED-00012,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,12,10,IS 19882 (Part 3):2026,04 Aug 2026,"Soil quality — Sampling — Part 3: Guidance on the procedure for investigation of natural, near-natural and cultivated sites",Code of Practice,Identical under dual numbering
XLSX-PUBLISHED-00013,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,13,11,IS 8324:2026,04 Aug 2026,Safe Use and Maintenance on Non Calibrated Round Steel Link Lifting Chains and Chain Slings Code of Practice (Second Revision),Code of Practice,Indigenous
XLSX-PUBLISHED-00014,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,14,12,IS 13872:2026,04 Aug 2026,HOUSEHOLD SEWING MACHINE - STITCH REGULATORS - SPECIFICATION ( First Revision ),Process Specification,Indigenous
XLSX-PUBLISHED-00015,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,15,13,IS 9874:2026,04 Aug 2026,Arm and Bed Assembly for Sewing Machines for Household Purposes — Specification ( First Revision ),Product Specification,Indigenous
XLSX-PUBLISHED-00016,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,16,14,IS 10325:2026,04 Aug 2026,"Square tins of 15 kg or 15 litre capacity for ghee, vanaspati, edible oils and bakery shortenings — Specification (third revision)",Product Specification,Indigenous
XLSX-PUBLISHED-00017,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,17,15,IS 12112:2026,04 Aug 2026,Control of Air Pollution in Refractory Industries — Code of Practice (First Revision),Code of Practice,Indigenous
XLSX-PUBLISHED-00018,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,18,16,IS 7385:2026,04 Aug 2026,Taper grooved pins — Half-length progressive grooves — Specification (third revision),Product Specification,Identical under dual numbering
XLSX-PUBLISHED-00019,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,19,17,IS 13618:2026,04 Aug 2026,Mine Haulages - Direct Rope (50 kW to 150 kW) - General Requirements,Product Specification,Indigenous
XLSX-PUBLISHED-00020,File_Published_Standards_List_2026-09-04_132339.xlsx,Published Standards,20,18,IS 12185:2026,04 Aug 2026,CONTROL OF AIR POLLUTION IN ALUMINIUM INDUSTRY — CODE OF PRACTICE (First Revision),Code of Practice,Indigenous
