is_number,standard_id,product,issuing_ministry_department,effective_date,authority_level,validation_status
IS 12795:2020,MSV1-8E0BB96EF52019AD,Linear Alkyl Benzene,Department of Chemicals and Petrochemicals,2026-09-30,HIGH,SOURCE_DERIVED
IS 4003 (Part 1):1978,NOT_IN_V02_INVENTORY,Pipe Wrenches-General Purpose,Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 4003 (Part 2):1986,MSV1-88E196F7680138F4,Pipe Wrenches Heavy Duty,Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 2028:2004,NOT_IN_V02_INVENTORY,Open-Jaw Wrenched(Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 2029:1998,NOT_IN_V02_INVENTORY,Ring Wrenches(Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 6149:1984,NOT_IN_V02_INVENTORY,Single-ended Open-jaw Adjustable Wrenches,Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 4123:1982,NOT_IN_V02_INVENTORY,Chain Pipe Wrenches,Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 4508:1992,NOT_IN_V02_INVENTORY,Open Ended Slugging Wrenches(Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 4509:1992,NOT_IN_V02_INVENTORY,Ring Slugging Wrenches (Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 3650:1981,MSV1-B0CEB9DD382A910A,Combination Side Cutting Pliers,Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 1660:2024,MSV1-6B3CF5E53C4F8A20,Wrought Aluminium Utensils,Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 14407:2023,MSV1-65907A013E26DA6D,Aluminium cans for beverages,Department of Chemicals and Petrochemicals,2026-10-01,HIGH,SOURCE_DERIVED
IS 302 (Part 1):2024,MSV1-A76AFCC8543B2107,Household/commercial/similar electrical appliances covered by QCO scope,Department for Promotion of Industry and Internal Trade,2026-10-01,HIGH,SOURCE_DERIVED
IS 11652:2017,MSV1-EBFDBE86D686A666,Textiles — HDPE/PP Woven Sacks for Packaging of 50 kg Cement,Department of Chemicals and Petrochemicals,2026-10-06,HIGH,SOURCE_DERIVED
IS 17399:2020,MSV1-369680D193F9B62E,"Textiles — PP/HDPE Laminated Woven Sacks for Mail Sorting, Storage, Transport and Distribution",Department of Chemicals and Petrochemicals,2026-10-06,HIGH,SOURCE_DERIVED
IS 16709:2017,MSV1-AD1AA2F56E501FC1,"Textiles — PP Woven, Laminated, Block Bottom Valve Sacks for Packaging of 50 kg Cement",Department of Chemicals and Petrochemicals,2026-10-06,HIGH,SOURCE_DERIVED
IS 733:1983,NOT_IN_V02_INVENTORY,"Wrought aluminium and aluminium alloy bars, rods and sections (For General Engineering Purposes)",Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 734:1975,MSV1-BE757C431D2CB70D,"Wrought aluminium and aluminium alloys, forging stock and forgings for general engineering purposes",Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 736:1986,MSV1-FC62BCD53F3DEBD8,Wrought aluminium and aluminium alloy plate for general engineering purposes,Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 737:2008,NOT_IN_V02_INVENTORY,Wrought aluminium and aluminium alloy sheet and strip for general engineering purposes,Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 739:1992,MSV1-C7A4F5EF1F58A256,Wrought aluminium and aluminium alloy wire for general engineering purposes,Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 740:1977,MSV1-41B093815AF7C904,Wrought aluminium and aluminium alloy rivet stock for general engineering purposes,Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 1285:2002,NOT_IN_V02_INVENTORY,Wrought aluminium and aluminium alloys — Extruded round tube and hollow section for general engineering purposes,Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 2067:1975,MSV1-AD8DE0BC6981822C,Wrought Aluminium Wire for Electrical Purposes,Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 21:1992,NOT_IN_V02_INVENTORY,Wrought aluminium and aluminium alloys for manufacture of utensils,Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 5082:1998,MSV1-0C68A8EAE3016F69,"Wrought aluminium and aluminium alloy bars, rods, tubes, sections, plates and sheets for electrical applications",Department for Promotion of Industry and Internal Trade,2026-12-01,HIGH,SOURCE_DERIVED
IS 18112:2022,NOT_IN_V02_INVENTORY,Digital Television Receiver for Satellite Broadcast Transmission,Ministry of Electronics and Information Technology,2027-01-26,HIGH,SOURCE_DERIVED
IS 5175:2022,MSV1-8C9CED60A2FA4B6D,Fibre Ropes — Polypropylene split film/monofilament/multifilament and high-tenacity multifilament ropes,Ministry of Textiles,2027-06-05,HIGH,SOURCE_DERIVED
