map_id,qco_id,is_number,standard_id,product,issuing_ministry_department,effective_date,qco_status,authority_level,source_id,mapping_method,validation_status
QCOMAP-V03-0001,QCO-V03-0001,IS 12795:2020,MSV1-8E0BB96EF52019AD,Linear Alkyl Benzene,Department of Chemicals and Petrochemicals,2026-09-30,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0002,QCO-V03-0002,IS 4003 (Part 1):1978,NOT_IN_V02_INVENTORY,Pipe Wrenches-General Purpose,Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0003,QCO-V03-0003,IS 4003 (Part 2):1986,MSV1-88E196F7680138F4,Pipe Wrenches Heavy Duty,Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0004,QCO-V03-0004,IS 2028:2004,NOT_IN_V02_INVENTORY,Open-Jaw Wrenched(Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0005,QCO-V03-0005,IS 2029:1998,NOT_IN_V02_INVENTORY,Ring Wrenches(Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0006,QCO-V03-0006,IS 6149:1984,NOT_IN_V02_INVENTORY,Single-ended Open-jaw Adjustable Wrenches,Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0007,QCO-V03-0007,IS 4123:1982,NOT_IN_V02_INVENTORY,Chain Pipe Wrenches,Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0008,QCO-V03-0008,IS 4508:1992,NOT_IN_V02_INVENTORY,Open Ended Slugging Wrenches(Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0009,QCO-V03-0009,IS 4509:1992,NOT_IN_V02_INVENTORY,Ring Slugging Wrenches (Spanners),Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0010,QCO-V03-0010,IS 3650:1981,MSV1-B0CEB9DD382A910A,Combination Side Cutting Pliers,Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
QCOMAP-V03-0011,QCO-V03-0011,IS 1660:2024,MSV1-6B3CF5E53C4F8A20,Wrought Aluminium Utensils,Department for Promotion of Industry and Internal Trade,2026-10-01,UPCOMING,HIGH,SRC-V03-004,DIRECT_BIS_UPCOMING_QCO_TABLE,SOURCE_DERIVED
