entity_id,entity_type,entity_name,source,validation_status
MSV1-5D0BA51F8738085C,STANDARD,IS 19763:2026 | Textile floor coverings - Aircraft Woven Carpet - Specification,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-20BC1DA075E1C350,STANDARD,IS 19822:2026 | FIBRE ROPES — ELECTROSTATIC SURFACE POTENTIAL MEASURING METHOD,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-F4236670B769271D,STANDARD,IS 19783:2026 | Textiles — 100 Percent Nylon Woven Fabric — Specifications,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-356EEF4C2E00D4E4,STANDARD,IS 1608 (Part 5):2026 | Metallic materials — Tensile testing Part 5: Specification for testing miniaturised test pieces,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-58D4F26A33B657A5,STANDARD,IS 19881:2026 | ASSIMILATIVE AND CARRYING CAPACITY ASSESSMENT OF AMBIENT AIR POLLUTION — METHODOLOGY,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-77A59E41C9A194C0,STANDARD,IS 19879:2026 | PREPARATION OF AIR QUALITY MANAGEMENT PLAN — CODE OF PRACTICE,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-67937071AB131EA2,STANDARD,IS 19880:2026 | CONTROL OF AIR POLLUTION FROM PLASTIC WASTE PYROLYSIS — CODE OF PRACTICE,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-9B2179E3A5E26B8E,STANDARD,IS 19882 (Part 1):2026 | Soil quality — Sampling — Part 1: Preliminary investigations,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-F74A73AEDF348B67,STANDARD,IS 19882 (Part 2):2026 | Soil quality — Sampling — Part 2: Investigation of potentially contaminated sites,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-7CD6FE241264991E,STANDARD,"IS 19882 (Part 3):2026 | Soil quality — Sampling — Part 3: Guidance on the procedure for investigation of natural, near-natural and cultivated sites",USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-4A86F08FC2974589,STANDARD,IS 8324:2026 | Safe Use and Maintenance on Non Calibrated Round Steel Link Lifting Chains and Chain Slings Code of Practice (Second Revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-5D692F4BDF89CE03,STANDARD,IS 13872:2026 | HOUSEHOLD SEWING MACHINE - STITCH REGULATORS - SPECIFICATION ( First Revision ),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-7C4E13F808C720BA,STANDARD,IS 9874:2026 | Arm and Bed Assembly for Sewing Machines for Household Purposes — Specification ( First Revision ),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-20ACEEB0051A3B01,STANDARD,"IS 10325:2026 | Square tins of 15 kg or 15 litre capacity for ghee, vanaspati, edible oils and bakery shortenings — Specification (third revision)",USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-D8EEC4771AE63FE3,STANDARD,IS 12112:2026 | Control of Air Pollution in Refractory Industries — Code of Practice (First Revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-DF1D95FB49D5F0E3,STANDARD,IS 7385:2026 | Taper grooved pins — Half-length progressive grooves — Specification (third revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-E79E9873164FB2F5,STANDARD,IS 13618:2026 | Mine Haulages - Direct Rope (50 kW to 150 kW) - General Requirements,USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-7BDE2FF9C85BC665,STANDARD,IS 12185:2026 | CONTROL OF AIR POLLUTION IN ALUMINIUM INDUSTRY — CODE OF PRACTICE (First Revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-27E0843782F7412B,STANDARD,IS 11916:2026 | Textiles – Continuous filament glass yarn for aerospace and other purposes – Specification (second revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-391106B5860F79C6,STANDARD,IS 10447:2026 | Solid Waste Management in Iron and Steel Plants — Guidelines ( First Revision ),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-B14B163A001A39A0,STANDARD,IS 11304:2026 | CONTROL OF AIR POLLUTION IN IRON AND STEEL PLANTS — CODE OF PRACTICE (First Revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-1DDE68C6A175E748,STANDARD,IS 16810 (Part 1):2026 | Safety of Machinery — Safety-Related Parts of Control Systems Part 1 General Principles for Design (First Revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
MSV1-6C72DBECC4610B49,STANDARD,IS 16815:2026 | Safety of Machinery — Positioning of Safeguards with Respect to the Approach of the Human Body (First Revision),USER_SUPPLIED_XLSX,SOURCE_DERIVED
