relationship_id,from_entity_id,to_entity_id,relationship_type,evidence,source,derivation_method,validation_status
REL-V03-QCO-0001,MSV1-8E0BB96EF52019AD,QCO-V03-0001,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 12795:2020 for enforcement on 2026-09-30,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0003,MSV1-88E196F7680138F4,QCO-V03-0003,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 4003 (Part 2):1986 for enforcement on 2026-10-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0010,MSV1-B0CEB9DD382A910A,QCO-V03-0010,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 3650:1981 for enforcement on 2026-10-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0011,MSV1-6B3CF5E53C4F8A20,QCO-V03-0011,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 1660:2024 for enforcement on 2026-10-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0012,MSV1-65907A013E26DA6D,QCO-V03-0012,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 14407:2023 for enforcement on 2026-10-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0013,MSV1-A76AFCC8543B2107,QCO-V03-0013,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 302 (Part 1):2024 for enforcement on 2026-10-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0014,MSV1-EBFDBE86D686A666,QCO-V03-0014,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 11652:2017 for enforcement on 2026-10-06,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0015,MSV1-369680D193F9B62E,QCO-V03-0015,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 17399:2020 for enforcement on 2026-10-06,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0016,MSV1-AD1AA2F56E501FC1,QCO-V03-0016,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 16709:2017 for enforcement on 2026-10-06,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0018,MSV1-BE757C431D2CB70D,QCO-V03-0018,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 734:1975 for enforcement on 2026-12-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0019,MSV1-FC62BCD53F3DEBD8,QCO-V03-0019,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 736:1986 for enforcement on 2026-12-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0021,MSV1-C7A4F5EF1F58A256,QCO-V03-0021,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 739:1992 for enforcement on 2026-12-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0022,MSV1-41B093815AF7C904,QCO-V03-0022,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 740:1977 for enforcement on 2026-12-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0024,MSV1-AD8DE0BC6981822C,QCO-V03-0024,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 2067:1975 for enforcement on 2026-12-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0026,MSV1-0C68A8EAE3016F69,QCO-V03-0026,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 5082:1998 for enforcement on 2026-12-01,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
REL-V03-QCO-0028,MSV1-8C9CED60A2FA4B6D,QCO-V03-0028,SUBJECT_TO_UPCOMING_QCO,BIS Upcoming QCO table lists IS 5175:2022 for enforcement on 2027-06-05,BIS_UPCOMING_QCO,DIRECT_SOURCE_MAPPING,SOURCE_DERIVED
