hard_negative_id,requirement_id,tender_id,negative_standard_id,negative_standard_number,negative_title,similarity_score,negative_reason,source,validation_status
HN-V03-000001,SYN-REQ-00001,SYN-TENDER-00001,MSV1-963535220932BDC9,IS 101 (Part 5/Sec 4):2026,"Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 4 Print free test (Fourth Revision)",0.4054,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000002,SYN-REQ-00001,SYN-TENDER-00001,MSV1-EA0B52630C714976,IS 101 (Part 5/Sec 1):2026,"Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical test on paint films: Sec 1 hardness tests (Fourth Revision)",0.3846,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000003,SYN-REQ-00002,SYN-TENDER-00002,MSV1-46674A7707248124,IS 1984 (Part 4):2025,Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),0.6471,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000004,SYN-REQ-00002,SYN-TENDER-00002,MSV1-B39E900FBBF39B26,IS 1984 (Part 5):2024,Injection Containers and Accessories Part 5 Freeze Drying Closures for Injection Vials,0.4,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000005,SYN-REQ-00003,SYN-TENDER-00003,MSV1-8F9336B1BA4C970D,IS 9984:2024,Ophthalmic Instruments Air Injection Cannula - Specification First Revision,0.5333,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000006,SYN-REQ-00003,SYN-TENDER-00003,MSV1-1EC80992C5D9CE56,IS 8825:2025,ENT Surgery Instruments - Suction Irrigation Cannula - Specification (First Revision),0.2632,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000007,SYN-REQ-00004,SYN-TENDER-00004,MSV1-335B08464C61BA5C,IS 8090:1976,"Specification for couplings, branch pipe, nozzle used in hose reel tubing for fire fighting (First Revision)",0.3462,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000008,SYN-REQ-00004,SYN-TENDER-00004,MSV1-4C67C676705CA720,IS 2871:2012,"Branch pipe, universal for fire fighting purpose - Specification (Second Revision)",0.25,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000009,SYN-REQ-00005,SYN-TENDER-00005,MSV1-E0162E31EE169F33,IS 17673:2021,Soy Amrakhand,0.2222,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
HN-V03-000010,SYN-REQ-00005,SYN-TENDER-00005,MSV1-50EAF85F04843A2F,IS/ISO 50007:2017,Energy Services — Guidelines for the Assessment and Improvement of the Energy Service to Users,0.1667,LEXICAL_SIMILAR_NOT_GOLD,SYNTHETIC_DERIVED_HARD_NEGATIVE,NEEDS_EXPERT_VALIDATION
