document_id,standard_id,standard_number,search_text
DOC-5D0BA51F8738085C,MSV1-5D0BA51F8738085C,IS 19763:2026,"Standard Number: IS 19763:2026
Title: Textile floor coverings - Aircraft Woven Carpet - Specification
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-20BC1DA075E1C350,MSV1-20BC1DA075E1C350,IS 19822:2026,"Standard Number: IS 19822:2026
Title: FIBRE ROPES — ELECTROSTATIC SURFACE POTENTIAL MEASURING METHOD
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-F4236670B769271D,MSV1-F4236670B769271D,IS 19783:2026,"Standard Number: IS 19783:2026
Title: Textiles — 100 Percent Nylon Woven Fabric — Specifications
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-356EEF4C2E00D4E4,MSV1-356EEF4C2E00D4E4,IS 1608 (Part 5):2026,"Standard Number: IS 1608 (Part 5):2026
Title: Metallic materials — Tensile testing Part 5: Specification for testing miniaturised test pieces
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-58D4F26A33B657A5,MSV1-58D4F26A33B657A5,IS 19881:2026,"Standard Number: IS 19881:2026
Title: ASSIMILATIVE AND CARRYING CAPACITY ASSESSMENT OF AMBIENT AIR POLLUTION — METHODOLOGY
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-77A59E41C9A194C0,MSV1-77A59E41C9A194C0,IS 19879:2026,"Standard Number: IS 19879:2026
Title: PREPARATION OF AIR QUALITY MANAGEMENT PLAN — CODE OF PRACTICE
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-67937071AB131EA2,MSV1-67937071AB131EA2,IS 19880:2026,"Standard Number: IS 19880:2026
Title: CONTROL OF AIR POLLUTION FROM PLASTIC WASTE PYROLYSIS — CODE OF PRACTICE
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-9B2179E3A5E26B8E,MSV1-9B2179E3A5E26B8E,IS 19882 (Part 1):2026,"Standard Number: IS 19882 (Part 1):2026
Title: Soil quality — Sampling — Part 1: Preliminary investigations
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-F74A73AEDF348B67,MSV1-F74A73AEDF348B67,IS 19882 (Part 2):2026,"Standard Number: IS 19882 (Part 2):2026
Title: Soil quality — Sampling — Part 2: Investigation of potentially contaminated sites
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-7CD6FE241264991E,MSV1-7CD6FE241264991E,IS 19882 (Part 3):2026,"Standard Number: IS 19882 (Part 3):2026
Title: Soil quality — Sampling — Part 3: Guidance on the procedure for investigation of natural, near-natural and cultivated sites
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-4A86F08FC2974589,MSV1-4A86F08FC2974589,IS 8324:2026,"Standard Number: IS 8324:2026
Title: Safe Use and Maintenance on Non Calibrated Round Steel Link Lifting Chains and Chain Slings Code of Practice (Second Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-5D692F4BDF89CE03,MSV1-5D692F4BDF89CE03,IS 13872:2026,"Standard Number: IS 13872:2026
Title: HOUSEHOLD SEWING MACHINE - STITCH REGULATORS - SPECIFICATION ( First Revision )
Type: Process Specification
Degree of Equivalence: Indigenous"
DOC-7C4E13F808C720BA,MSV1-7C4E13F808C720BA,IS 9874:2026,"Standard Number: IS 9874:2026
Title: Arm and Bed Assembly for Sewing Machines for Household Purposes — Specification ( First Revision )
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-20ACEEB0051A3B01,MSV1-20ACEEB0051A3B01,IS 10325:2026,"Standard Number: IS 10325:2026
Title: Square tins of 15 kg or 15 litre capacity for ghee, vanaspati, edible oils and bakery shortenings — Specification (third revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-D8EEC4771AE63FE3,MSV1-D8EEC4771AE63FE3,IS 12112:2026,"Standard Number: IS 12112:2026
Title: Control of Air Pollution in Refractory Industries — Code of Practice (First Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
