expansion_id,standard_id,standard_number,expansion_type,expanded_query,language,generation_method,authority_status,validation_status
EXP-V03-00001-1,MSV1-5D0BA51F8738085C,IS 19763:2026,TITLE_DERIVED_QUERY,textile floor coverings aircraft woven carpet,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00001-2,MSV1-5D0BA51F8738085C,IS 19763:2026,TITLE_DERIVED_QUERY,textile floor coverings aircraft,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00002-1,MSV1-20BC1DA075E1C350,IS 19822:2026,TITLE_DERIVED_QUERY,fibre ropes electrostatic surface potential measuring method,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00002-2,MSV1-20BC1DA075E1C350,IS 19822:2026,TITLE_DERIVED_QUERY,fibre ropes electrostatic surface,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00003-1,MSV1-F4236670B769271D,IS 19783:2026,TITLE_DERIVED_QUERY,textiles percent nylon woven fabric specifications,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00003-2,MSV1-F4236670B769271D,IS 19783:2026,TITLE_DERIVED_QUERY,textiles percent nylon woven,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00004-1,MSV1-356EEF4C2E00D4E4,IS 1608 (Part 5):2026,TITLE_DERIVED_QUERY,metallic materials tensile miniaturised pieces,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00004-2,MSV1-356EEF4C2E00D4E4,IS 1608 (Part 5):2026,TITLE_DERIVED_QUERY,metallic materials tensile miniaturised,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00005-1,MSV1-58D4F26A33B657A5,IS 19881:2026,TITLE_DERIVED_QUERY,assimilative carrying capacity assessment ambient pollution methodology,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00005-2,MSV1-58D4F26A33B657A5,IS 19881:2026,TITLE_DERIVED_QUERY,assimilative carrying capacity assessment,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00006-1,MSV1-77A59E41C9A194C0,IS 19879:2026,TITLE_DERIVED_QUERY,preparation quality management plan code practice,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00006-2,MSV1-77A59E41C9A194C0,IS 19879:2026,TITLE_DERIVED_QUERY,preparation quality management plan,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00007-1,MSV1-67937071AB131EA2,IS 19880:2026,TITLE_DERIVED_QUERY,control pollution from plastic waste pyrolysis code practice,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00007-2,MSV1-67937071AB131EA2,IS 19880:2026,TITLE_DERIVED_QUERY,control pollution from plastic,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00008-1,MSV1-9B2179E3A5E26B8E,IS 19882 (Part 1):2026,TITLE_DERIVED_QUERY,soil quality sampling preliminary investigations,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00008-2,MSV1-9B2179E3A5E26B8E,IS 19882 (Part 1):2026,TITLE_DERIVED_QUERY,soil quality sampling preliminary,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00009-1,MSV1-F74A73AEDF348B67,IS 19882 (Part 2):2026,TITLE_DERIVED_QUERY,soil quality sampling investigation potentially contaminated sites,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00009-2,MSV1-F74A73AEDF348B67,IS 19882 (Part 2):2026,TITLE_DERIVED_QUERY,soil quality sampling investigation,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00010-1,MSV1-7CD6FE241264991E,IS 19882 (Part 3):2026,TITLE_DERIVED_QUERY,soil quality sampling guidance procedure investigation natural near,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00010-2,MSV1-7CD6FE241264991E,IS 19882 (Part 3):2026,TITLE_DERIVED_QUERY,soil quality sampling guidance,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00011-1,MSV1-4A86F08FC2974589,IS 8324:2026,TITLE_DERIVED_QUERY,safe maintenance calibrated round steel link lifting chains,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00011-2,MSV1-4A86F08FC2974589,IS 8324:2026,TITLE_DERIVED_QUERY,safe maintenance calibrated round,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
EXP-V03-00012-1,MSV1-5D692F4BDF89CE03,IS 13872:2026,TITLE_DERIVED_QUERY,household sewing machine stitch regulators first revision,EN,GENERATED,NOT_AUTHORITATIVE,SYNTHETIC_AUXILIARY
