term_id,technical_term,synonym,abbreviation,product_term,regional_term,language,standard_usage,source,validation_status
TERM-96663BA66FCD6366,textile,NOT_VALIDATED,NOT_VALIDATED,textile,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-A3E1F4935B0919B3,floor,NOT_VALIDATED,NOT_VALIDATED,floor,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-F479143E373DDD40,coverings,NOT_VALIDATED,NOT_VALIDATED,coverings,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-D10149EECFF30F56,aircraft,NOT_VALIDATED,NOT_VALIDATED,aircraft,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-97D8B48AAF83F22E,woven,NOT_VALIDATED,NOT_VALIDATED,woven,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-8C59BA38922292B9,carpet,NOT_VALIDATED,NOT_VALIDATED,carpet,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-142D31EAD54FC338,fibre,NOT_VALIDATED,NOT_VALIDATED,fibre,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-08544322F2867CC0,ropes,NOT_VALIDATED,NOT_VALIDATED,ropes,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-6EB33E7B5E37DF08,electrostatic,NOT_VALIDATED,NOT_VALIDATED,electrostatic,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-763CDC62A869262B,surface,NOT_VALIDATED,NOT_VALIDATED,surface,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-81B6B2C874B78764,potential,NOT_VALIDATED,NOT_VALIDATED,potential,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-82226049E7ED00FE,measuring,NOT_VALIDATED,NOT_VALIDATED,measuring,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-8C5DDD41DA7CE96A,textiles,NOT_VALIDATED,NOT_VALIDATED,textiles,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-AD57366865126E55,100,NOT_VALIDATED,NOT_VALIDATED,100,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-FD86717ACA41C558,percent,NOT_VALIDATED,NOT_VALIDATED,percent,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-58AA515E1683AEDA,nylon,NOT_VALIDATED,NOT_VALIDATED,nylon,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-AD2A542C84C7060F,fabric,NOT_VALIDATED,NOT_VALIDATED,fabric,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
TERM-A70A59B3981AF385,metallic,NOT_VALIDATED,NOT_VALIDATED,metallic,NOT_VALIDATED,English,DERIVED_FROM_STANDARD_TITLE,MANAKSETU_V02_TITLE_TOKENIZATION,INFERRED_NOT_OFFICIAL
