recommendation_id,query_id,standard_id,rank,evidence_type,evidence_text,source,validation_status
REC-F7C67955488902CC,SYN-REQ-00001,MSV1-A44D6D9DD02EF056,1,TITLE_GROUNDED_MATCH,"Query template directly names: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-3FEA04B8C9C52C79,SYN-REQ-00002,MSV1-46674A7707248124,1,TITLE_GROUNDED_MATCH,Query template directly names: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-6B21541E2D3B63E7,SYN-REQ-00003,MSV1-8F9336B1BA4C970D,1,TITLE_GROUNDED_MATCH,Query template directly names: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-BF58B629415F824F,SYN-REQ-00004,MSV1-A618E538928F2183,1,TITLE_GROUNDED_MATCH,"Query template directly names: Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-8B4BB7B513DEBD78,SYN-REQ-00005,MSV1-E0162E31EE169F33,1,TITLE_GROUNDED_MATCH,Query template directly names: Soy Amrakhand,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B3CA2D86CD9D6200,SYN-REQ-00006,MSV1-899135D1E001E554,1,TITLE_GROUNDED_MATCH,Query template directly names: Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-8B0FE1149140ECB9,SYN-REQ-00007,MSV1-39AC68A9CD7A26AD,1,TITLE_GROUNDED_MATCH,"Query template directly names: Hub axle, front for moped - Specification (First Revision)",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-DBF06B0127C16760,SYN-REQ-00008,MSV1-603CE15978E46BFD,1,TITLE_GROUNDED_MATCH,Query template directly names: Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-D2563A90E3CAEC1F,SYN-REQ-00009,MSV1-9987B09C822D494D,1,TITLE_GROUNDED_MATCH,"Query template directly names: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-E9C0A8D5756F96A3,SYN-REQ-00010,MSV1-3D8093EAAE511881,1,TITLE_GROUNDED_MATCH,Query template directly names: Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-0CB28EFBD56807DA,SYN-REQ-00011,MSV1-94A2F3B11F7EA713,1,TITLE_GROUNDED_MATCH,Query template directly names: Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-7513A45CF1C94206,SYN-REQ-00012,MSV1-01D80F37B360C671,1,TITLE_GROUNDED_MATCH,"Query template directly names: Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-E5C8C82620FED7A2,SYN-REQ-00013,MSV1-9C953BC6A83742FF,1,TITLE_GROUNDED_MATCH,Query template directly names: SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-2B1967170ECDE63E,SYN-REQ-00014,MSV1-087B866DBA81E85E,1,TITLE_GROUNDED_MATCH,Query template directly names: Textiles — Grading of Uncut Indian Mesta (First Revision),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-0876714843D04D85,SYN-REQ-00015,MSV1-FE5E2ECF6D21CF29,1,TITLE_GROUNDED_MATCH,"Query template directly names: Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-9F60BD0D86DB5447,SYN-REQ-00016,MSV1-0C690155FE0085AF,1,TITLE_GROUNDED_MATCH,Query template directly names: Information technology Open Connectivity Foundation OCF Specification Part 6: Resource to AllJoyn interface mapping specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B65207314C3CC7BC,SYN-REQ-00017,MSV1-D693BFD6B8182E44,1,TITLE_GROUNDED_MATCH,Query template directly names: Pesticide - Pirimiphos methyl space spray specification,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-64A2B475BB5489DF,SYN-REQ-00018,MSV1-CD0199B1E7D492C2,1,TITLE_GROUNDED_MATCH,Query template directly names: Graphical symbols - Creation and design of public information symbols - Requirements,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-5D12123872DB0ED9,SYN-REQ-00019,MSV1-534FE5AB9580D1F1,1,TITLE_GROUNDED_MATCH,Query template directly names: Automotive Vehicles - External Projection Part 1 Performance Requirements for M1 Category of Vehicles ( First Revision ),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-654867C538E6C9DF,SYN-REQ-00020,MSV1-BB72737E5DD7CEAA,1,TITLE_GROUNDED_MATCH,Query template directly names: Man Riding Car by Rope Haulage System for Transportation of Persons in Mines,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-F47E850192A5F510,SYN-REQ-00021,MSV1-6D3A36B9B8CB9BE9,1,TITLE_GROUNDED_MATCH,Query template directly names: METHODS OF MEASUREMENT OF WORK IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 12 TOPOGRAPHICAL SURVEYS,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-F742575E1627EBE4,SYN-REQ-00022,MSV1-167162C38D5C79D6,1,TITLE_GROUNDED_MATCH,Query template directly names: Industrial automation glossary,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-E619BB42EF8A7F75,SYN-REQ-00023,MSV1-6B037C23D010A219,1,TITLE_GROUNDED_MATCH,Query template directly names: Earth-Moving Machinery - Loaders and Backhoe Loaders Part 1 Calculation of Rated Operating Capacity and Test Method for Verifying Calculated Tipping Load,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-34F870EA7F163DE3,SYN-REQ-00024,MSV1-A56935BCAF61C5DA,1,TITLE_GROUNDED_MATCH,Query template directly names: ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT ? SOIL STABILIZERS ? TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15688 ),SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-E6BE01AFB67889E2,SYN-REQ-00025,MSV1-CFBCFC071DA8AB32,1,TITLE_GROUNDED_MATCH,Query template directly names: Specification for playgroijnd equipment for parks: Part ii horizontal bars,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-F618EB9E32AE6B70,SYN-REQ-00026,MSV1-55FB1F79EB65BAA6,1,TITLE_GROUNDED_MATCH,Query template directly names: Head configuration and gauging of countersunk head screws,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
REC-B225E5405F995C6D,SYN-REQ-00027,MSV1-A3F46B38962E88BA,1,TITLE_GROUNDED_MATCH,"Query template directly names: Pyriproxyfen + Fenpropathrin, emulsifiable concentrate (EC) - Specification",SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
