gazette_id,qco_id,notification_number,notification_date,effective_date,document_status,description,source,source_url,validation_status,document_capture_status
GAZ-V03-0001,QCO-V03-0001,NOT_AVAILABLE,NOT_AVAILABLE,2026-09-30,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0002,QCO-V03-0002,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0003,QCO-V03-0003,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0004,QCO-V03-0004,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0005,QCO-V03-0005,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0006,QCO-V03-0006,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0007,QCO-V03-0007,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0008,QCO-V03-0008,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0009,QCO-V03-0009,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0010,QCO-V03-0010,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0011,QCO-V03-0011,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0012,QCO-V03-0012,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0013,QCO-V03-0013,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0014,QCO-V03-0014,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-06,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0015,QCO-V03-0015,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-06,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0016,QCO-V03-0016,NOT_AVAILABLE,NOT_AVAILABLE,2026-10-06,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0017,QCO-V03-0017,NOT_AVAILABLE,NOT_AVAILABLE,2026-12-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0018,QCO-V03-0018,NOT_AVAILABLE,NOT_AVAILABLE,2026-12-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
GAZ-V03-0019,QCO-V03-0019,NOT_AVAILABLE,NOT_AVAILABLE,2026-12-01,NOT_CAPTURED,Government QCO notification is the legal instrument; notification document not captured in V03 source cache,BIS Upcoming QCO table,https://www.bis.gov.in/upcoming-qcos-notified-and-due-for-implementation/?lang=en,REFERENCE_ONLY,NEEDS_PRIMARY_NOTIFICATION_DOCUMENT
