rule_id,entity_type,entity_id,start_date,end_date,status,source,validation_status
TEMP-8FEFC61EE0B1863F,STANDARD,MSV1-5D0BA51F8738085C,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-A93CFE6BFC12D388,STANDARD,MSV1-20BC1DA075E1C350,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-67F9F22674201EE7,STANDARD,MSV1-F4236670B769271D,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-1C679147A8E8A4DD,STANDARD,MSV1-356EEF4C2E00D4E4,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-934A175AC34C9EB6,STANDARD,MSV1-58D4F26A33B657A5,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-43FF292D787EC01E,STANDARD,MSV1-77A59E41C9A194C0,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-6E488A870776FA71,STANDARD,MSV1-67937071AB131EA2,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-FBAB2885636C5E89,STANDARD,MSV1-9B2179E3A5E26B8E,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-C9AB760F487C3323,STANDARD,MSV1-F74A73AEDF348B67,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-ACB8DA49C3C0F97E,STANDARD,MSV1-7CD6FE241264991E,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-B259F3151FB5F457,STANDARD,MSV1-4A86F08FC2974589,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-F3D192E8E73B8573,STANDARD,MSV1-5D692F4BDF89CE03,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-508BCDEBDEBB896E,STANDARD,MSV1-7C4E13F808C720BA,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-C02187E790311F72,STANDARD,MSV1-20ACEEB0051A3B01,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-B63A23BF9B41648C,STANDARD,MSV1-D8EEC4771AE63FE3,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-26BC61BD1618C10F,STANDARD,MSV1-DF1D95FB49D5F0E3,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-EDD5F0E067E49B0B,STANDARD,MSV1-E79E9873164FB2F5,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-55BEFB201275DC0B,STANDARD,MSV1-7BDE2FF9C85BC665,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-9D03F43FA43BBE5C,STANDARD,MSV1-27E0843782F7412B,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-C085D132FCBE5FAD,STANDARD,MSV1-391106B5860F79C6,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-E167A4DD2F2DF256,STANDARD,MSV1-B14B163A001A39A0,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-91CC7CF6B8A52CCB,STANDARD,MSV1-1DDE68C6A175E748,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-B6E9F6917CF99B9C,STANDARD,MSV1-6C72DBECC4610B49,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-17B99C7727716393,STANDARD,MSV1-CAA5A939E23855D9,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-6E10DC099E1C0D62,STANDARD,MSV1-2102B9299AE692BD,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-DE774AAE237868A9,STANDARD,MSV1-DA4934D3570DA0D7,2026-08-04,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-630906B7E7177D1E,STANDARD,MSV1-8DF868A81D7A0E2A,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-56BB7575F5DB1321,STANDARD,MSV1-52A9639E1762156A,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-626D37EFBD18A464,STANDARD,MSV1-AC4D3D747EFD6CC3,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-50EDAD8A279C1044,STANDARD,MSV1-52A4FC6EAEBF8FE1,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-6F417D462B4F56B1,STANDARD,MSV1-F6BAB5C5201D5B3E,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-6BBFC754057D0DDF,STANDARD,MSV1-CB5033454CF46F97,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-67916D205C1585BB,STANDARD,MSV1-1D08C26BAABC450A,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-3CEF837EAA5CA803,STANDARD,MSV1-121E312273C342CD,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-33C4D145E5210294,STANDARD,MSV1-238440F8B1C5DF30,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-0F4E4F94D144AC45,STANDARD,MSV1-17AB49410C808873,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-940ACA3C2B8C48A2,STANDARD,MSV1-3AC813ED272F47C7,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-EFE92569948B4027,STANDARD,MSV1-56488BF2DE8D3C2D,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-B77BDAF55B29C3CD,STANDARD,MSV1-C29C1E6215CD70B8,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-0179971B69916EAE,STANDARD,MSV1-C7A0A2CEA9EDCDAA,2026-08-03,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-79871C8021AD06E9,STANDARD,MSV1-073BAA08B6122FF1,2026-07-24,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-7D96951310748F92,STANDARD,MSV1-9E8CA76691AB77AD,2026-07-24,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-DE7C26967FBEE0B9,STANDARD,MSV1-9568373A9402869B,2026-07-24,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-C2BC596DB7489C02,STANDARD,MSV1-4F790F6EDA5FADBE,2026-07-24,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-5F6C8A8456146A84,STANDARD,MSV1-0D3263E3039E279B,2026-07-24,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
TEMP-E592AA8697CDC861,STANDARD,MSV1-A9D21EFE6B4252C1,2026-07-24,NOT_AVAILABLE,TEMPORAL_STATUS_NOT_VALIDATED,SOURCE_INVENTORY_ONLY,NEEDS_AUTHORITATIVE_STATUS
