entity_id,requirement_id,entity_text,entity_type,normalized_value,source,validation_status
PE-D5A1F4F10C1C592E,SYN-REQ-00001,"Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",PRODUCT_OR_SUBJECT,methods of sampling and test for paints varnishes and related products part 5 mechanical tests sec 6 determination of resistance to abrasion by abrasive paper covered wheels and rotating test specimen,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-D08B048BA1C53705,SYN-REQ-00002,Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),PRODUCT_OR_SUBJECT,injection containers and accessories part 4 closures for injection vials first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-8C73521F40DE4AD3,SYN-REQ-00003,Ophthalmic Instruments Air Injection Cannula - Specification First Revision,PRODUCT_OR_SUBJECT,ophthalmic instruments air injection cannula specification first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-ACBE36749D7649CE,SYN-REQ-00004,"Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",PRODUCT_OR_SUBJECT,fire hose delivery couplings branch pipe nozzles and nozzle spanner specification fifth revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-93DA862793832127,SYN-REQ-00005,Soy Amrakhand,PRODUCT_OR_SUBJECT,soy amrakhand,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-6C05CD2E24A46E9F,SYN-REQ-00006,Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),PRODUCT_OR_SUBJECT,method of measurement of works in river valley projects dams and appurtenant structures part 5 masonry first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-8DC8345C48CD3641,SYN-REQ-00007,"Hub axle, front for moped - Specification (First Revision)",PRODUCT_OR_SUBJECT,hub axle front for moped specification first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-E9E008C6CFC464EA,SYN-REQ-00008,Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,PRODUCT_OR_SUBJECT,arjuna terminalia arjuna roxb ex dc wight arn stem bark for use in traditional medicine specifications,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-5650401B5E3BE551,SYN-REQ-00009,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",PRODUCT_OR_SUBJECT,information security cybersecurity and privacy protection evaluation criteria for it security part 5 pre defined packages of security requirements,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-A391210290571E05,SYN-REQ-00010,Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),PRODUCT_OR_SUBJECT,methods of test for coated and treated fabrics part 13 rubber or plastics coated fabrics determination of crush resistance first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-3F9EEB5499AE8CB2,SYN-REQ-00011,Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),PRODUCT_OR_SUBJECT,textiles colour fastness of disperse dyes on polyester fabrics to carbonization method for determination second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-842EE886308E4910,SYN-REQ-00012,"Power transformers: Part 3 insulation levels, dielectric tests and external clearances in air (Fourth Revision)",PRODUCT_OR_SUBJECT,power transformers part 3 insulation levels dielectric tests and external clearances in air fourth revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-767134336713B3CC,SYN-REQ-00013,SPECIFICATION FOR PENTAERYTHRITOL FOR EXPLOSIVE INDUSTRY (First Revision),PRODUCT_OR_SUBJECT,specification for pentaerythritol for explosive industry first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-91C92F9FF0FA96A2,SYN-REQ-00014,Textiles — Grading of Uncut Indian Mesta (First Revision),PRODUCT_OR_SUBJECT,textiles grading of uncut indian mesta first revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
PE-EE5D4903E4F12231,SYN-REQ-00015,"Rolling bearings -- Radial bearings -- Boundary dimensions, general plan (Second Revision)",PRODUCT_OR_SUBJECT,rolling bearings radial bearings boundary dimensions general plan second revision,SYNTHETIC_FROM_SOURCE_TITLE,SYNTHETIC
