query_id,query,language,script,standard_id,translation_type,validation_status,record_type,synthetic_flag
MQ-AE5C4861AA7CC2FA,"Need applicable Indian standard for Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",English,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-CEE9EA7FD18FFDCA,"[SYNTHETIC_TA_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Tamil,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-556E91AE617325E8,"[SYNTHETIC_HI_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Hindi,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-E452D4ACAAA6EAA0,"[SYNTHETIC_ML_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Malayalam,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-46DDECE01B7DB0B9,"[SYNTHETIC_TE_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Telugu,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-A80EF6D84097DAD4,"[SYNTHETIC_KN_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Kannada,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-2C92F6F20AFF2617,"[SYNTHETIC_BN_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Bengali,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-C8F327287D6B4968,"[SYNTHETIC_MR_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Marathi,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-7A714EB18A463AFE,"[SYNTHETIC_GU_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",Gujarati,LATIN_OR_PLACEHOLDER,MSV1-A44D6D9DD02EF056,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-2BC45372BAFBDFFE,Need applicable Indian standard for Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),English,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-4F72397478C5987D,[SYNTHETIC_TA_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Tamil,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-F416C15F81B4FD52,[SYNTHETIC_HI_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Hindi,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-102B3C7C4E3069EB,[SYNTHETIC_ML_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Malayalam,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-B74CE3ABFAE1C91E,[SYNTHETIC_TE_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Telugu,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-D5E6315C73BF163E,[SYNTHETIC_KN_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Kannada,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-74C8D265CCEC411E,[SYNTHETIC_BN_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Bengali,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-BE916EE4AF620A2D,[SYNTHETIC_MR_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Marathi,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-CD6D27C843D35C01,[SYNTHETIC_GU_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),Gujarati,LATIN_OR_PLACEHOLDER,MSV1-46674A7707248124,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-FEF646B44E6B70E6,Need applicable Indian standard for Ophthalmic Instruments Air Injection Cannula - Specification First Revision,English,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-71D12B9A6CADAF7A,[SYNTHETIC_TA_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Tamil,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-873155DA98BEE958,[SYNTHETIC_HI_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Hindi,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-DFB1FABBA32E4821,[SYNTHETIC_ML_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Malayalam,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-263E4F522815F135,[SYNTHETIC_TE_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Telugu,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-127D82EEAC78D8B9,[SYNTHETIC_KN_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Kannada,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-6FBDBB5A4FA67417,[SYNTHETIC_BN_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Bengali,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-9C5A3464A70F4BB4,[SYNTHETIC_MR_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Marathi,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-432D1D963F4194CA,[SYNTHETIC_GU_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Ophthalmic Instruments Air Injection Cannula - Specification First Revision,Gujarati,LATIN_OR_PLACEHOLDER,MSV1-8F9336B1BA4C970D,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-55A55DFAE15F00D9,"Need applicable Indian standard for Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",English,LATIN_OR_PLACEHOLDER,MSV1-A618E538928F2183,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-5933EFCB2C497EF9,"[SYNTHETIC_TA_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",Tamil,LATIN_OR_PLACEHOLDER,MSV1-A618E538928F2183,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
MQ-CC2AD004004679B8,"[SYNTHETIC_HI_TRANSLATION_PENDING_HUMAN_REVIEW] Applicable standard for: Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",Hindi,LATIN_OR_PLACEHOLDER,MSV1-A618E538928F2183,SYNTHETIC_TEMPLATE,SYNTHETIC_NOT_OFFICIAL_TERMINOLOGY,SYNTHETIC,True
