evidence_span_id,standard_id,standard_number,field,evidence_text,char_start,char_end,evidence_source,validation_status
EVS-V03-000001,MSV1-5D0BA51F8738085C,IS 19763:2026,title,Textile floor coverings - Aircraft Woven Carpet - Specification,0,63,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000002,MSV1-20BC1DA075E1C350,IS 19822:2026,title,FIBRE ROPES — ELECTROSTATIC SURFACE POTENTIAL MEASURING METHOD,0,62,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000003,MSV1-F4236670B769271D,IS 19783:2026,title,Textiles — 100 Percent Nylon Woven Fabric — Specifications,0,58,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000004,MSV1-356EEF4C2E00D4E4,IS 1608 (Part 5):2026,title,Metallic materials — Tensile testing Part 5: Specification for testing miniaturised test pieces,0,95,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000005,MSV1-58D4F26A33B657A5,IS 19881:2026,title,ASSIMILATIVE AND CARRYING CAPACITY ASSESSMENT OF AMBIENT AIR POLLUTION — METHODOLOGY,0,84,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000006,MSV1-77A59E41C9A194C0,IS 19879:2026,title,PREPARATION OF AIR QUALITY MANAGEMENT PLAN — CODE OF PRACTICE,0,61,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000007,MSV1-67937071AB131EA2,IS 19880:2026,title,CONTROL OF AIR POLLUTION FROM PLASTIC WASTE PYROLYSIS — CODE OF PRACTICE,0,72,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000008,MSV1-9B2179E3A5E26B8E,IS 19882 (Part 1):2026,title,Soil quality — Sampling — Part 1: Preliminary investigations,0,60,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000009,MSV1-F74A73AEDF348B67,IS 19882 (Part 2):2026,title,Soil quality — Sampling — Part 2: Investigation of potentially contaminated sites,0,81,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000010,MSV1-7CD6FE241264991E,IS 19882 (Part 3):2026,title,"Soil quality — Sampling — Part 3: Guidance on the procedure for investigation of natural, near-natural and cultivated sites",0,123,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000011,MSV1-4A86F08FC2974589,IS 8324:2026,title,Safe Use and Maintenance on Non Calibrated Round Steel Link Lifting Chains and Chain Slings Code of Practice (Second Revision),0,126,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000012,MSV1-5D692F4BDF89CE03,IS 13872:2026,title,HOUSEHOLD SEWING MACHINE - STITCH REGULATORS - SPECIFICATION ( First Revision ),0,79,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000013,MSV1-7C4E13F808C720BA,IS 9874:2026,title,Arm and Bed Assembly for Sewing Machines for Household Purposes — Specification ( First Revision ),0,98,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000014,MSV1-20ACEEB0051A3B01,IS 10325:2026,title,"Square tins of 15 kg or 15 litre capacity for ghee, vanaspati, edible oils and bakery shortenings — Specification (third revision)",0,130,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000015,MSV1-D8EEC4771AE63FE3,IS 12112:2026,title,Control of Air Pollution in Refractory Industries — Code of Practice (First Revision),0,85,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000016,MSV1-DF1D95FB49D5F0E3,IS 7385:2026,title,Taper grooved pins — Half-length progressive grooves — Specification (third revision),0,85,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000017,MSV1-E79E9873164FB2F5,IS 13618:2026,title,Mine Haulages - Direct Rope (50 kW to 150 kW) - General Requirements,0,68,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000018,MSV1-7BDE2FF9C85BC665,IS 12185:2026,title,CONTROL OF AIR POLLUTION IN ALUMINIUM INDUSTRY — CODE OF PRACTICE (First Revision),0,82,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000019,MSV1-27E0843782F7412B,IS 11916:2026,title,Textiles – Continuous filament glass yarn for aerospace and other purposes – Specification (second revision),0,108,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000020,MSV1-391106B5860F79C6,IS 10447:2026,title,Solid Waste Management in Iron and Steel Plants — Guidelines ( First Revision ),0,79,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000021,MSV1-B14B163A001A39A0,IS 11304:2026,title,CONTROL OF AIR POLLUTION IN IRON AND STEEL PLANTS — CODE OF PRACTICE (First Revision),0,85,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000022,MSV1-1DDE68C6A175E748,IS 16810 (Part 1):2026,title,Safety of Machinery — Safety-Related Parts of Control Systems Part 1 General Principles for Design (First Revision),0,115,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000023,MSV1-6C72DBECC4610B49,IS 16815:2026,title,Safety of Machinery — Positioning of Safeguards with Respect to the Approach of the Human Body (First Revision),0,111,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000024,MSV1-CAA5A939E23855D9,IS 7967:2026,title,Controlling Pollution of Marine Coastal Outfalls — Guidelines ( First Revision ),0,80,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000025,MSV1-2102B9299AE692BD,IS 3256:2026,title,Textiles — Inland Packaging of Ropes and Cordages — Code of Practice (Second Revision),0,86,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000026,MSV1-DA4934D3570DA0D7,IS 5175:2026,title,"Fibre ropes — Polypropylene split film monofilament and multifilament — 3-, 4-, 8- and 12- strand ropes (fifth revision)",0,120,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000027,MSV1-8DF868A81D7A0E2A,IS 13450 (Part 2/Sec 6):2026,title,Medical Electrical Equipment Part 2 Particular Requirements for Basic Safety and Essential Performance Section 6 Particular requirements for the basic safety and essential performance of microwave therapy equipment IEC 60601-2-6: 2022 MOD First Revision,0,253,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000028,MSV1-52A9639E1762156A,IS 15732 (Part 1):2026,title,Endoscopes - Medical Endoscopes and Endotherapy Devices Part 1 General Requirements (Second Revision),0,101,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
EVS-V03-000029,MSV1-AC4D3D747EFD6CC3,IS 15732 (Part 4):2026,title,Endoscopes - Medical endoscopes and endotherapy devices Part 4 Determination of maximum width of insertion portion (Second Revision),0,132,SOURCE_INVENTORY_TITLE,SOURCE_DERIVED
