query_id,standard_id,label,relevance,annotator,validation_status
BENCH-00001,MSV1-A44D6D9DD02EF056,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00002,MSV1-46674A7707248124,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00003,MSV1-8F9336B1BA4C970D,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00004,MSV1-A618E538928F2183,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00005,MSV1-E0162E31EE169F33,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00006,MSV1-899135D1E001E554,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00007,MSV1-39AC68A9CD7A26AD,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00008,MSV1-603CE15978E46BFD,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00009,MSV1-9987B09C822D494D,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00010,MSV1-3D8093EAAE511881,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00011,MSV1-94A2F3B11F7EA713,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00012,MSV1-01D80F37B360C671,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00013,MSV1-9C953BC6A83742FF,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00014,MSV1-087B866DBA81E85E,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00015,MSV1-FE5E2ECF6D21CF29,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00016,MSV1-0C690155FE0085AF,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00017,MSV1-D693BFD6B8182E44,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00018,MSV1-CD0199B1E7D492C2,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00019,MSV1-534FE5AB9580D1F1,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00020,MSV1-BB72737E5DD7CEAA,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00021,MSV1-6D3A36B9B8CB9BE9,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00022,MSV1-167162C38D5C79D6,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00023,MSV1-6B037C23D010A219,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00024,MSV1-A56935BCAF61C5DA,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00025,MSV1-CFBCFC071DA8AB32,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00026,MSV1-55FB1F79EB65BAA6,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00027,MSV1-A3F46B38962E88BA,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00028,MSV1-7AD8E37548E77299,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00029,MSV1-51142D426ACE3C48,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00030,MSV1-002B732AF92D3836,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00031,MSV1-FB09E8DE59382516,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00032,MSV1-6AB0A38FA591DFE5,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00033,MSV1-ACA33D17049B7DDB,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00034,MSV1-16D15904229745DD,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00035,MSV1-B81BC870E55EBFFF,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00036,MSV1-5AAEFBBBB093A70E,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00037,MSV1-C04F07EF31F1FEAC,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00038,MSV1-D63F542EE2156E0B,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00039,MSV1-4455E8D32414E939,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00040,MSV1-CC0EF6BFF04FBA78,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00041,MSV1-F5A117CFA6A89A52,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
BENCH-00042,MSV1-20F980C6DE18EADC,POSITIVE,HIGHLY_RELEVANT,MANAKSETU_V02_GENERATOR,SYNTHETIC
