query_id,query,target_standard_id,language,noise_type,record_type,synthetic_flag,validation_status
SYN-Q-00001,"Need applicable Indian Standard for Methods of sampling and test for paints, varnishes and related products: Part 5 Mechanical tests: Sec 6 Determination of resistance to abrasion by abrasive-paper covered wheels and rotating test specimen",MSV1-A44D6D9DD02EF056,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00002,Need applicable Indian Standard for Injection Containers and Accessories Part 4 Closures for Injection Vials (First Revision),MSV1-46674A7707248124,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00003,Need applicable Indian Standard for Ophthalmic Instruments Air Injection Cannula - Specification First Revision,MSV1-8F9336B1BA4C970D,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00004,"Need applicable Indian Standard for Fire Hose Delivery Couplings, Branch Pipe, Nozzles and Nozzle Spanner - Specification (Fifth Revision)",MSV1-A618E538928F2183,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00005,Need applicable Indian Standard for Soy Amrakhand,MSV1-E0162E31EE169F33,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00006,Need applicable Indian Standard for Method of measurement of works in river valley projects (Dams And Appurtenant Structures): Part 5 masonry (First Revision),MSV1-899135D1E001E554,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00007,"Need applicable Indian Standard for Hub axle, front for moped - Specification (First Revision)",MSV1-39AC68A9CD7A26AD,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00008,Need applicable Indian Standard for Arjuna Terminalia arjuna Roxb ex DC Wight Arn Stem bark for use in Traditional Medicine Specifications,MSV1-603CE15978E46BFD,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00009,"Need applicable Indian Standard for Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",MSV1-9987B09C822D494D,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00010,Need applicable Indian Standard for Methods of Test for Coated and Treated Fabrics: Part 13 Rubber- or Plastics-Coated Fabrics - Determination of Crush Resistance (First Revision),MSV1-3D8093EAAE511881,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
SYN-Q-00011,Need applicable Indian Standard for Textiles — Colour Fastness of Disperse Dyes on Polyester Fabrics to Carbonization — Method for Determination (Second Revision),MSV1-94A2F3B11F7EA713,English,NONE,SYNTHETIC,True,SYNTHETIC_TITLE_GROUNDED
