file,rows,bytes
00_raw/source_manifest.csv,6,1971
01_core/amendments.csv,24132,4485356
01_core/committees.csv,2000,258095
01_core/departments.csv,11,1264
01_core/field_provenance.csv,241320,49263210
01_core/lifecycle_events.csv,24132,4195188
01_core/references.csv,24132,4440385
01_core/sectors.csv,38,4134
01_core/standard_families.csv,17155,446474
01_core/standards.csv,24132,29087084
01_core/standards_raw.csv,24132,6375698
02_compliance/certification.csv,28,11357
02_compliance/certification_standard_map.csv,28,5145
02_compliance/compliance_sources.csv,2,391
02_compliance/gazette_notifications.csv,28,9735
02_compliance/qco.csv,28,11890
02_compliance/qco_standard_map.csv,28,7435
02_compliance/temporal_rules.csv,24132,3789976
02_compliance/testing_inspection.csv,28,8590
03_knowledge_graph/entities.csv,41287,6018414
03_knowledge_graph/graph_paths.csv,17155,2121492
03_knowledge_graph/relationship_evidence.csv,16,3364
03_knowledge_graph/relationships.csv,24148,5408932
04_procurement/expert_labels.csv,0,119
04_procurement/hard_negatives.csv,2000,535456
04_procurement/procurement_entities.csv,5000,1357854
04_procurement/requirement_standard_labels.csv,5000,1189706
04_procurement/requirements.csv,5000,2147652
04_procurement/tenders.csv,5000,1821420
05_retrieval/bm25_documents.csv,96528,6344432
05_retrieval/embedding_metadata.csv,24132,2389140
05_retrieval/hard_negative_pairs.csv,2000,240854
05_retrieval/query_expansions.csv,43962,7623350
05_retrieval/reranker_pairs.csv,3000,1045182
05_retrieval/retrieval_corpus.csv,96528,16281224
05_retrieval/retrieval_metadata.csv,24132,2916792
06_multilingual/multilingual_queries.csv,9000,2714025
06_multilingual/regional_variants.csv,4500,969125
06_multilingual/terminology.csv,14705,2532565
06_multilingual/translations.csv,1000,256997
07_explainability/confidence.csv,5000,530132
07_explainability/decision_traces.csv,5000,1156142
07_explainability/evidence_spans.csv,10000,2027936
07_explainability/recommendation_evidence.csv,5000,1205480
08_validation/conflicts.csv,180,58488
08_validation/expert_validation.csv,24132,4609320
08_validation/source_conflicts.csv,0,113
08_validation/validation_log.csv,24132,3233763
08_validation/validation_queue.csv,5000,1050081
09_evaluation/benchmark.csv,2000,692934
09_evaluation/gold_labels.csv,2000,186065
09_evaluation/hard_cases.csv,2000,427975
09_evaluation/multilingual_benchmark.csv,1500,326854
09_evaluation/robustness_benchmark.csv,3000,914380
10_synthetic/synthetic_candidates.csv,10000,1160096
10_synthetic/synthetic_pairs.csv,5000,1035460
10_synthetic/synthetic_queries.csv,5000,1075482
10_synthetic/synthetic_tenders.csv,5000,1520858
11_quality/dataset_statistics.csv,44,1650
11_quality/duplicate_report.csv,180,153421
11_quality/qa_results.csv,2,331
