standard_id,standard_number,title,title_normalized,v03_duplicate_status
MSV1-9987B09C822D494D,IS 14990 (Part 5):2026,"Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements",information security cybersecurity and privacy protection evaluation criteria for it security part 5 pre defined packages of security requirements,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-E40F4A23845447F6,IS 7762:2026,"Specification for hook, eyelid",specification for hook eyelid,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-7386EA3121FB9D6F,IS 7758:2026,"Specification For Curette, Eye, Evacuation, Moorfield's Pattern",specification for curette eye evacuation moorfield s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D1766E239B24555F,IS 7767:2026,"Specification For Spatula, Eye, Cyclodialysis, Sinclair's Pattern",specification for spatula eye cyclodialysis sinclair s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-8D9A4BF95797A1FF,IS 5722:2026,"Specification For Hook, Eye, Iris (Tyrrell's Pattern)",specification for hook eye iris tyrrell s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-DE125E7EA48BEF8E,IS 11244:2026,"Specification for trephine, bone lacrimal with handle",specification for trephine bone lacrimal with handle,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D0D785503AF95DF8,IS 9401 (Part 9):2026,METHOD OF MEASUREMENT OF WORKS IN RIVER VALLEY PROJECTS DAMS AND APPURTENANT STRUCTURES PART 9 LINING,method of measurement of works in river valley projects dams and appurtenant structures part 9 lining,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-796858985E6D0F17,IS 1448 (Part 97):2026,Methods of test for petroleum and its products [p : 97] determination of thermal oxidation stability of gas turbine fuels - Jftot method (First Revision),methods of test for petroleum and its products p 97 determination of thermal oxidation stability of gas turbine fuels jftot method first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-37FA75225AE8727F,IS 1448 (Part 186):2026,Petroleum Products and Related Products Determination of Kinematic Viscosity Method by Stabinger Type Viscometer,petroleum products and related products determination of kinematic viscosity method by stabinger type viscometer,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-3104558A317B4E25,IS 1448 (Part 187):2026,Methods of test for Petroleum and its Products Part 187 Petroleum Products-Determination of Sulfated Ash in Lubricating Oils and Additives,methods of test for petroleum and its products part 187 petroleum products determination of sulfated ash in lubricating oils and additives,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-153679605DA38059,IS 15641 (Part 3):2026,Natural gas - Determination of water by karl fischer method: Part 3 coulometric procedure,natural gas determination of water by karl fischer method part 3 coulometric procedure,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-98F10713CBB670C3,IS 10408:2026,"Specification For Spatula, Eye, Green's Pattern",specification for spatula eye green s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-505093E07EE2122F,IS 5367:2026,"Specification For Forceps, Eye, Strabismus, For Advancement (Prince's And Worth's Patterns)",specification for forceps eye strabismus for advancement prince s and worth s patterns,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-90CDFE4A1AF562AD,IS 15429:2026,Storage installation and maintenance of DC motors - Code of practice,storage installation and maintenance of dc motors code of practice,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-609E3649D55B265F,IS 1528 (Part 14):2026,Methods of sampling and physical tests for refractory materials: Part 14 determination of sieve analysis (First Revision),methods of sampling and physical tests for refractory materials part 14 determination of sieve analysis first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-C9FCB8F8A6875175,IS 10390:2026,Specification for muscle hook,specification for muscle hook,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-4EF71BCCBEB4E59F,IS 10045:2026,"Specification For Punch, Lacrymal Bone, Beyer's Pattern",specification for punch lacrymal bone beyer s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-AD01B2F74328DA22,IS 4569 (Part 3):2026,"Specification for scissors, eye: part 3 scissors, tenotomy (Second Revision)",specification for scissors eye part 3 scissors tenotomy second revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-B8CC1961535AC336,IS 5157:2026,"Specification for forceps, eye, Iris (First Revision)",specification for forceps eye iris first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-26B20DFEF54275BD,IS 8106:2026,"Specification For Needle Holder, Eye, Kalt's Pattern",specification for needle holder eye kalt s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-6C9ECDC3A93908F1,IS 19748:2026,Ophthalmic implants - Irrigating solutions for ophthalmic surgery,ophthalmic implants irrigating solutions for ophthalmic surgery,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-16F593CA0A1F31D9,IS 10847:2026,"Specification for Speculum with Screw Adjustment, Eye, Right and Left, Arruga's Pattern",specification for speculum with screw adjustment eye right and left arruga s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-2EA48FF9DB9F960A,IS 4569 (Part 1):2026,"Specification for scissors, eye: Part 1 corneal (Second Revision)",specification for scissors eye part 1 corneal second revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-6AAC44CFBC729748,IS 7786:2026,"Specification For Retractor, Eyelid, Desmarre's Pattern",specification for retractor eyelid desmarre s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-9E9EBB59DA6FEB57,IS 9688:2026,"Eye surgery instruments - Hooks, strabismus - Specification ( first revision)",eye surgery instruments hooks strabismus specification first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-FE43741F67AB412C,IS 9983:2026,"Specification for wire vectis and lens expressor, eye",specification for wire vectis and lens expressor eye,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-82CFD3AF6105A210,IS 8109:2026,"Specification For Needle Holder, Eye, Castroviejo's Pattern",specification for needle holder eye castroviejo s pattern,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-0E516720044C9685,IS 9329:2026,"Specification For Speculum, Eye, Clark's Pattern (Modified) (First Revision)",specification for speculum eye clark s pattern modified first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-7B1E8F64CC1BBA64,IS 7136:2026,Specification for megaphones,specification for megaphones,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-CFA03221EA7ACD61,IS 7130:2026,"Chlorosulphonic Acid, Technical - Specification",chlorosulphonic acid technical specification,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-68D9C659DB6ABE2C,IS 8325:2026,Specification for nickel formate for nickel catalyst (First Revision),specification for nickel formate for nickel catalyst first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-2A06025DAF3035B1,IS/ISO 15924:2022,Information and documentation - Codes for the representation of names of scripts,information and documentation codes for the representation of names of scripts,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-304251846C388A26,IS 14836 (Part 2):2026,Codes for the representation of names of countries and their subdivisions: Part 2 country subdivision codes,codes for the representation of names of countries and their subdivisions part 2 country subdivision codes,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-E83C4B7DC1C4B39C,IS 14836 (Part 3):2026,Codes for the representation of namesof countries and their subdivisions: Part 3 code for formerly used names of countries,codes for the representation of namesof countries and their subdivisions part 3 code for formerly used names of countries,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-6782EABA3FBFD9F2,IS 16276 (Part 2):2026,Document Management ” Portable Document Format Part 2 PDF 2.0,document management portable document format part 2 pdf 2 0,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-0401D0E66387D769,IS 16602 (Part 3):2026,Information & Documentation- RFID in Libraries Part 3 Fixed Lenth Encoding,information documentation rfid in libraries part 3 fixed lenth encoding,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-77AEE7D11A453A7B,IS 14127:2026,INSOLUBLE AMORPHOUS SULPHUR FOR RUBBER INDUSTRY SPECIFICATION,insoluble amorphous sulphur for rubber industry specification,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-6C6E5E8E75543BBF,IS 14478:2026,"Plain bearings - Thick - Walled bushes, plain and flange type, full - Round (without any joint or slit) - Specification",plain bearings thick walled bushes plain and flange type full round without any joint or slit specification,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-41BF4FB19061CE6C,IS 16602 (Part 1):2026,Information and documentation - RFID in libraries: Part 1 data elements and general guidelines for implementation,information and documentation rfid in libraries part 1 data elements and general guidelines for implementation,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-75088FC4E69D29EC,IS 2265:2026,Specification for galvanized steel wire strand for signaling purposes (First Revision),specification for galvanized steel wire strand for signaling purposes first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-3593FA73A9F41FE8,IS 8181:2026,"Specification for repositor, Iris",specification for repositor iris,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-E8E8A23BAE6E4AB6,IS 16789:2026,Information and documentation - Digital records conversion and migration process,information and documentation digital records conversion and migration process,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-3805B12DAD7CDDD1,IS/ISO 14533 (Part 3):2025,Processes data elements and documents in commerce industry and administration- Long term signature profiles- Part 3: Long term signature profiles for PDF Advanced Electronic Signatures PAdES,processes data elements and documents in commerce industry and administration long term signature profiles part 3 long term signature profiles for pdf advanced electronic signatures pades,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-DF0816327EA1CB88,IS 18474 (Part 4):2026,"Transfusion Equipment for Medical Use Part 4 Transfusion Sets for Single Use, Gravity Feed",transfusion equipment for medical use part 4 transfusion sets for single use gravity feed,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-219DADD8A923DC12,IS 18344 (Part 1):2026,"Washer-Disinfectors Part 1 General Requirements, Terms and Definitions and Tests",washer disinfectors part 1 general requirements terms and definitions and tests,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-E372E13027F75AA4,IS 18344 (Part 3):2026,Washer-Disinfectors Part 3 Requirements and Tests for Washer-Disinfectors Employing Thermal Disinfection for Human Waste Containers,washer disinfectors part 3 requirements and tests for washer disinfectors employing thermal disinfection for human waste containers,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-DE3C320AE33C5413,IS 4569 (Part 4):2026,"Specification For Scissors, Eye Part 4 Scissors,Enucleation (Second Revision)",specification for scissors eye part 4 scissors enucleation second revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D05552B7EA0BA204,IS 4569 (Part 6):2026,"Specification For Scissors, Eye Part 6 Scissors, Iris (Second Revision)",specification for scissors eye part 6 scissors iris second revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
